# Low Threshold: 1.962640
# High Threshold: 2.796045
# Counts - Low: 127, Moderate: 444, High: 1146
ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000418408,"mean: 0.050043, var: 0.000089","mean: 0.398584, var: 0.002277","mean: 0.760547, var: 0.001556","mean: 0.071655, var: 0.001936","mean: 0.036267, var: 0.000103","mean: 0.107263, var: 0.003051","mean: 0.072040, var: 0.002585","mean: 0.081317, var: 0.000419","mean: 0.015306, var: 0.000058","mean: 0.063702, var: 0.000593","mean: 0.024717, var: 0.000885",1.9977064965582194,Moderate
ENSP00000417570,"mean: 0.335400, var: 0.003491","mean: 0.318945, var: 0.000798","mean: 0.162012, var: 0.001401","mean: 0.754395, var: 0.000618","mean: 0.355127, var: 0.003845","mean: 0.253491, var: 0.004676","mean: 0.019782, var: 0.000209","mean: 0.259692, var: 0.001913","mean: 0.270068, var: 0.004408","mean: 0.358545, var: 0.003541","mean: 0.056403, var: 0.001048",3.265128637600965,High
ENSP00000414689,"mean: 0.295728, var: 0.006282","mean: 0.280762, var: 0.001306","mean: 0.259277, var: 0.000360","mean: 0.747070, var: 0.002082","mean: 0.384302, var: 0.022821","mean: 0.173389, var: 0.003089","mean: 0.010610, var: 0.000111","mean: 0.236572, var: 0.002112","mean: 0.124207, var: 0.000670","mean: 0.183325, var: 0.000960","mean: 0.022266, var: 0.000287",3.0001383507625965,High
ENSP00000414510,"mean: 0.279346, var: 0.004143","mean: 0.752539, var: 0.014452","mean: 0.254419, var: 0.002767","mean: 0.270044, var: 0.016881","mean: 0.305615, var: 0.002824","mean: 0.217163, var: 0.001280","mean: 0.017946, var: 0.000166","mean: 0.160083, var: 0.000558","mean: 0.233398, var: 0.002956","mean: 0.462109, var: 0.002198","mean: 0.033385, var: 0.001427",3.141142684865213,High
ENSP00000412763,"mean: 0.716357, var: 0.019575","mean: 0.240625, var: 0.000281","mean: 0.118518, var: 0.000242","mean: 0.345654, var: 0.018667","mean: 0.664893, var: 0.025717","mean: 0.141394, var: 0.003868","mean: 0.032751, var: 0.000053","mean: 0.220190, var: 0.002733","mean: 0.384473, var: 0.015292","mean: 0.378955, var: 0.001537","mean: 0.069620, var: 0.000978",3.1155663909938425,High
ENSP00000410157,"mean: 0.265674, var: 0.004511","mean: 0.527881, var: 0.003472","mean: 0.464648, var: 0.006012","mean: 0.043033, var: 0.001073","mean: 0.272681, var: 0.005104","mean: 0.124329, var: 0.000824","mean: 0.015127, var: 0.000187","mean: 0.208569, var: 0.002709","mean: 0.283936, var: 0.010792","mean: 0.288086, var: 0.000077","mean: 0.006624, var: 0.000081",2.9340184973830223,High
ENSP00000409472,"mean: 0.288794, var: 0.001559","mean: 0.428076, var: 0.004286","mean: 0.393604, var: 0.003150","mean: 0.314063, var: 0.003211","mean: 0.201343, var: 0.000288","mean: 0.290625, var: 0.006624","mean: 0.068558, var: 0.002011","mean: 0.280103, var: 0.002950","mean: 0.246338, var: 0.003203","mean: 0.322559, var: 0.001237","mean: 0.230804, var: 0.040360",3.7231639203235942,High
ENSP00000407046,"mean: 0.815332, var: 0.001952","mean: 0.317871, var: 0.002785","mean: 0.153882, var: 0.002359","mean: 0.072925, var: 0.001240","mean: 0.528271, var: 0.005348","mean: 0.145227, var: 0.004233","mean: 0.016694, var: 0.000184","mean: 0.452197, var: 0.003266","mean: 0.399463, var: 0.006537","mean: 0.551318, var: 0.003298","mean: 0.049475, var: 0.000070",2.897818280113319,High
ENSP00000400217,"mean: 0.262305, var: 0.003031","mean: 0.260937, var: 0.000425","mean: 0.146155, var: 0.000946","mean: 0.862793, var: 0.002405","mean: 0.299292, var: 0.005278","mean: 0.169153, var: 0.007350","mean: 0.015447, var: 0.000129","mean: 0.293896, var: 0.005778","mean: 0.268140, var: 0.007342","mean: 0.298999, var: 0.003090","mean: 0.039011, var: 0.000614",3.036390723214098,High
ENSP00000395538,"mean: 0.085461, var: 0.001802","mean: 0.586182, var: 0.018176","mean: 0.505322, var: 0.004035","mean: 0.264178, var: 0.021687","mean: 0.187341, var: 0.013660","mean: 0.206970, var: 0.007402","mean: 0.012989, var: 0.000338","mean: 0.286902, var: 0.031634","mean: 0.012213, var: 0.000106","mean: 0.062036, var: 0.000999","mean: 0.022087, var: 0.000115",2.584776677094503,Moderate
ENSP00000387070,"mean: 0.164819, var: 0.000230","mean: 0.732422, var: 0.001986","mean: 0.497168, var: 0.005082","mean: 0.047496, var: 0.001720","mean: 0.136121, var: 0.000418","mean: 0.113470, var: 0.001097","mean: 0.007542, var: 0.000040","mean: 0.162891, var: 0.000283","mean: 0.090488, var: 0.003362","mean: 0.228491, var: 0.006274","mean: 0.021805, var: 0.000133",2.5063620545818446,Moderate
ENSP00000386239,"mean: 0.156628, var: 0.001324","mean: 0.557568, var: 0.006748","mean: 0.608398, var: 0.006036","mean: 0.130194, var: 0.001989","mean: 0.167749, var: 0.002696","mean: 0.361011, var: 0.003799","mean: 0.004023, var: 0.000021","mean: 0.187231, var: 0.003086","mean: 0.101379, var: 0.000427","mean: 0.144202, var: 0.001262","mean: 0.039600, var: 0.001629",2.8261815728449045,High
ENSP00000384215,"mean: 0.047064, var: 0.000207","mean: 0.182471, var: 0.001504","mean: 0.914551, var: 0.001727","mean: 0.021107, var: 0.000141","mean: 0.037430, var: 0.000118","mean: 0.194055, var: 0.003689","mean: 0.016647, var: 0.000250","mean: 0.034848, var: 0.000045","mean: 0.041486, var: 0.000042","mean: 0.035066, var: 0.000554","mean: 0.071185, var: 0.001994",1.681292968363904,Low
ENSP00000382269,"mean: 0.278735, var: 0.002036","mean: 0.665918, var: 0.003644","mean: 0.524609, var: 0.007258","mean: 0.055547, var: 0.001800","mean: 0.195142, var: 0.001044","mean: 0.221582, var: 0.001313","mean: 0.076666, var: 0.003226","mean: 0.201416, var: 0.004889","mean: 0.269934, var: 0.023361","mean: 0.208911, var: 0.001631","mean: 0.020864, var: 0.000549",3.059612547403191,High
ENSP00000381170,"mean: 0.266919, var: 0.004683","mean: 0.765430, var: 0.003181","mean: 0.473779, var: 0.003124","mean: 0.047232, var: 0.000797","mean: 0.303345, var: 0.005127","mean: 0.148657, var: 0.003347","mean: 0.008672, var: 0.000079","mean: 0.124316, var: 0.000710","mean: 0.137769, var: 0.000962","mean: 0.223096, var: 0.000291","mean: 0.053912, var: 0.001545",2.76604657540413,Moderate
ENSP00000380888,"mean: 0.195288, var: 0.001521","mean: 0.608789, var: 0.007676","mean: 0.617090, var: 0.015189","mean: 0.029522, var: 0.000819","mean: 0.106531, var: 0.000423","mean: 0.331787, var: 0.003009","mean: 0.021912, var: 0.000198","mean: 0.165137, var: 0.000813","mean: 0.300366, var: 0.001953","mean: 0.204248, var: 0.004735","mean: 0.080710, var: 0.004072",2.897550583768178,High
ENSP00000379083,"mean: 0.312915, var: 0.009113","mean: 0.629687, var: 0.009693","mean: 0.412109, var: 0.006004","mean: 0.384790, var: 0.047246","mean: 0.305957, var: 0.008407","mean: 0.231665, var: 0.001182","mean: 0.029465, var: 0.000608","mean: 0.090320, var: 0.000294","mean: 0.052625, var: 0.000830","mean: 0.150037, var: 0.000789","mean: 0.038292, var: 0.000219",2.974270384676565,High
ENSP00000377634,"mean: 0.062030, var: 0.000123","mean: 0.366113, var: 0.002950","mean: 0.862305, var: 0.001199","mean: 0.039783, var: 0.000734","mean: 0.043060, var: 0.000047","mean: 0.069733, var: 0.001801","mean: 0.008156, var: 0.000077","mean: 0.059137, var: 0.000104","mean: 0.013263, var: 0.000026","mean: 0.023698, var: 0.000094","mean: 0.012257, var: 0.000121",1.5239090837402438,Low
ENSP00000374443,"mean: 0.320850, var: 0.000888","mean: 0.544775, var: 0.005506","mean: 0.407080, var: 0.000476","mean: 0.081070, var: 0.000828","mean: 0.251904, var: 0.002736","mean: 0.200940, var: 0.008973","mean: 0.031117, var: 0.000293","mean: 0.269409, var: 0.007932","mean: 0.301709, var: 0.006941","mean: 0.379932, var: 0.001610","mean: 0.061987, var: 0.005780",3.2978353998450434,High
ENSP00000366757,"mean: 0.367676, var: 0.001926","mean: 0.798145, var: 0.002358","mean: 0.162231, var: 0.003024","mean: 0.063324, var: 0.000721","mean: 0.411572, var: 0.004968","mean: 0.192114, var: 0.001085","mean: 0.005903, var: 0.000014","mean: 0.208691, var: 0.002389","mean: 0.204883, var: 0.000646","mean: 0.344727, var: 0.000316","mean: 0.025937, var: 0.000342",2.8438950413537665,High
ENSP00000364003,"mean: 0.350220, var: 0.008770","mean: 0.624902, var: 0.001605","mean: 0.399316, var: 0.003972","mean: 0.073810, var: 0.001624","mean: 0.414453, var: 0.006460","mean: 0.255078, var: 0.001416","mean: 0.010527, var: 0.000021","mean: 0.230444, var: 0.009095","mean: 0.223633, var: 0.007190","mean: 0.226611, var: 0.003780","mean: 0.055801, var: 0.000745",3.1522941066330032,High
ENSP00000363891,"mean: 0.853320, var: 0.002377","mean: 0.149683, var: 0.000130","mean: 0.120154, var: 0.000200","mean: 0.073691, var: 0.005331","mean: 0.561133, var: 0.004584","mean: 0.208472, var: 0.003086","mean: 0.023443, var: 0.000874","mean: 0.420752, var: 0.013295","mean: 0.433887, var: 0.010481","mean: 0.438379, var: 0.005587","mean: 0.038742, var: 0.000612",2.8194940600486076,High
ENSP00000363642,"mean: 0.066278, var: 0.000553","mean: 0.257495, var: 0.000921","mean: 0.749219, var: 0.003508","mean: 0.030463, var: 0.000272","mean: 0.071954, var: 0.000547","mean: 0.144800, var: 0.000385","mean: 0.004829, var: 0.000022","mean: 0.140466, var: 0.001389","mean: 0.037280, var: 0.000914","mean: 0.051263, var: 0.000417","mean: 0.007482, var: 0.000092",1.9340760500784533,Low
ENSP00000362580,"mean: 0.360449, var: 0.010293","mean: 0.669336, var: 0.002124","mean: 0.306250, var: 0.001306","mean: 0.101306, var: 0.001865","mean: 0.518848, var: 0.013514","mean: 0.187732, var: 0.002587","mean: 0.007873, var: 0.000024","mean: 0.111243, var: 0.000244","mean: 0.210205, var: 0.003502","mean: 0.177136, var: 0.001821","mean: 0.047449, var: 0.000884",2.946847791755678,High
ENSP00000357206,"mean: 0.189392, var: 0.005435","mean: 0.660742, var: 0.009499","mean: 0.395361, var: 0.002998","mean: 0.242944, var: 0.004992","mean: 0.193982, var: 0.005910","mean: 0.263977, var: 0.010383","mean: 0.005566, var: 0.000040","mean: 0.121033, var: 0.001870","mean: 0.197803, var: 0.004338","mean: 0.353857, var: 0.010283","mean: 0.036031, var: 0.001401",3.0616531432423058,High
ENSP00000356716,"mean: 0.104773, var: 0.000282","mean: 0.675098, var: 0.003764","mean: 0.574756, var: 0.005796","mean: 0.073932, var: 0.003109","mean: 0.090436, var: 0.000600","mean: 0.067426, var: 0.000969","mean: 0.012165, var: 0.000162","mean: 0.111682, var: 0.000563","mean: 0.058017, var: 0.000646","mean: 0.187988, var: 0.001839","mean: 0.023601, var: 0.000415",2.277883663476602,Moderate
ENSP00000355922,"mean: 0.101050, var: 0.000169","mean: 0.469385, var: 0.007404","mean: 0.768262, var: 0.002820","mean: 0.089563, var: 0.000885","mean: 0.071027, var: 0.000174","mean: 0.131061, var: 0.005388","mean: 0.021984, var: 0.000511","mean: 0.056891, var: 0.000410","mean: 0.040063, var: 0.000350","mean: 0.154321, var: 0.000668","mean: 0.025985, var: 0.000366",2.2185714303148236,Moderate
ENSP00000354828,"mean: 0.150037, var: 0.000905","mean: 0.510449, var: 0.008774","mean: 0.726953, var: 0.001216","mean: 0.064441, var: 0.000785","mean: 0.126660, var: 0.000169","mean: 0.373682, var: 0.002826","mean: 0.004628, var: 0.000022","mean: 0.119080, var: 0.000585","mean: 0.108258, var: 0.000981","mean: 0.112842, var: 0.000477","mean: 0.041204, var: 0.001571",2.5624828876056416,Moderate
ENSP00000353010,"mean: 0.520703, var: 0.001360","mean: 0.451660, var: 0.004942","mean: 0.312012, var: 0.001885","mean: 0.069916, var: 0.000269","mean: 0.250464, var: 0.002227","mean: 0.591895, var: 0.003213","mean: 0.031541, var: 0.000388","mean: 0.395459, var: 0.006008","mean: 0.374756, var: 0.008254","mean: 0.520459, var: 0.007756","mean: 0.048659, var: 0.002006",3.2360414551448162,High
ENSP00000352794,"mean: 0.412549, var: 0.005515","mean: 0.665527, var: 0.004760","mean: 0.318945, var: 0.003483","mean: 0.193787, var: 0.005306","mean: 0.452002, var: 0.008426","mean: 0.181750, var: 0.004364","mean: 0.033653, var: 0.000186","mean: 0.391943, var: 0.013279","mean: 0.266968, var: 0.013178","mean: 0.536377, var: 0.015068","mean: 0.068825, var: 0.001652",3.3396791086265356,High
ENSP00000352413,"mean: 0.837891, var: 0.002627","mean: 0.204028, var: 0.000422","mean: 0.121838, var: 0.000679","mean: 0.033936, var: 0.000868","mean: 0.702930, var: 0.013458","mean: 0.165894, var: 0.001210","mean: 0.020354, var: 0.000452","mean: 0.419580, var: 0.006696","mean: 0.251514, var: 0.004868","mean: 0.183228, var: 0.007632","mean: 0.029237, var: 0.000259",2.594629370685712,Moderate
ENSP00000351185,"mean: 0.108203, var: 0.000255","mean: 0.517090, var: 0.008104","mean: 0.557666, var: 0.006810","mean: 0.106848, var: 0.005820","mean: 0.056403, var: 0.000226","mean: 0.304077, var: 0.005625","mean: 0.018132, var: 0.000342","mean: 0.116199, var: 0.000174","mean: 0.059634, var: 0.000595","mean: 0.089435, var: 0.000729","mean: 0.026284, var: 0.000719",2.47297031135997,Moderate
ENSP00000348564,"mean: 0.204858, var: 0.000483","mean: 0.602637, var: 0.005556","mean: 0.441162, var: 0.002583","mean: 0.140503, var: 0.002232","mean: 0.137854, var: 0.001132","mean: 0.237427, var: 0.005902","mean: 0.007655, var: 0.000069","mean: 0.318848, var: 0.012845","mean: 0.199731, var: 0.001525","mean: 0.332471, var: 0.006316","mean: 0.109863, var: 0.004730",3.213543287482083,High
ENSP00000344383,"mean: 0.302783, var: 0.000689","mean: 0.626172, var: 0.001704","mean: 0.435400, var: 0.002194","mean: 0.121021, var: 0.000466","mean: 0.207520, var: 0.000914","mean: 0.173682, var: 0.000778","mean: 0.024191, var: 0.000129","mean: 0.298999, var: 0.004906","mean: 0.332422, var: 0.010532","mean: 0.510938, var: 0.007249","mean: 0.034285, var: 0.000648",3.1787203645459416,High
ENSP00000328426,"mean: 0.074585, var: 0.000021","mean: 0.437988, var: 0.003765","mean: 0.731543, var: 0.002497","mean: 0.114703, var: 0.002948","mean: 0.065100, var: 0.000031","mean: 0.164404, var: 0.004795","mean: 0.027702, var: 0.000614","mean: 0.067151, var: 0.000161","mean: 0.048810, var: 0.000098","mean: 0.065887, var: 0.000282","mean: 0.038519, var: 0.001392",2.2396625922188957,Moderate
ENSP00000321813,"mean: 0.151367, var: 0.001160","mean: 0.523096, var: 0.009990","mean: 0.721094, var: 0.001192","mean: 0.059729, var: 0.000613","mean: 0.125122, var: 0.000308","mean: 0.383887, var: 0.005040","mean: 0.003599, var: 0.000013","mean: 0.115869, var: 0.000521","mean: 0.118109, var: 0.001331","mean: 0.121240, var: 0.000630","mean: 0.040166, var: 0.001585",2.563666660696661,Moderate
ENSP00000313933,"mean: 0.101526, var: 0.001451","mean: 0.435254, var: 0.005339","mean: 0.771875, var: 0.008458","mean: 0.025023, var: 0.000678","mean: 0.082498, var: 0.003221","mean: 0.145154, var: 0.004717","mean: 0.009075, var: 0.000073","mean: 0.058270, var: 0.000303","mean: 0.054184, var: 0.000229","mean: 0.089282, var: 0.000196","mean: 0.035295, var: 0.001174",2.0724194746682394,Moderate
ENSP00000301607,"mean: 0.209912, var: 0.000316","mean: 0.644824, var: 0.009116","mean: 0.393115, var: 0.000923","mean: 0.151892, var: 0.001661","mean: 0.197168, var: 0.001862","mean: 0.186450, var: 0.000064","mean: 0.022210, var: 0.000107","mean: 0.085193, var: 0.000885","mean: 0.195752, var: 0.002117","mean: 0.276758, var: 0.002461","mean: 0.027851, var: 0.001008",2.966094650023991,High
ENSP00000300648,"mean: 0.378809, var: 0.000852","mean: 0.533936, var: 0.018673","mean: 0.586133, var: 0.003545","mean: 0.028284, var: 0.000327","mean: 0.257178, var: 0.006963","mean: 0.437256, var: 0.001669","mean: 0.095331, var: 0.002421","mean: 0.213965, var: 0.004606","mean: 0.218750, var: 0.002757","mean: 0.276904, var: 0.006165","mean: 0.097500, var: 0.010874",3.296660752418045,High
ENSP00000297268,"mean: 0.212183, var: 0.002293","mean: 0.156311, var: 0.000683","mean: 0.129138, var: 0.000516","mean: 0.923828, var: 0.001169","mean: 0.185449, var: 0.001859","mean: 0.071790, var: 0.000811","mean: 0.016885, var: 0.000099","mean: 0.230591, var: 0.005680","mean: 0.085199, var: 0.000986","mean: 0.105719, var: 0.002174","mean: 0.004888, var: 0.000017",2.3387374472168423,Moderate
ENSP00000294383,"mean: 0.208643, var: 0.000132","mean: 0.646973, var: 0.009876","mean: 0.549561, var: 0.011071","mean: 0.083636, var: 0.001414","mean: 0.213062, var: 0.002366","mean: 0.122034, var: 0.001680","mean: 0.025977, var: 0.000401","mean: 0.151416, var: 0.000564","mean: 0.231348, var: 0.003587","mean: 0.322314, var: 0.001772","mean: 0.023578, var: 0.000919",2.90393849836007,High
ENSP00000281282,"mean: 0.207837, var: 0.000320","mean: 0.722852, var: 0.007297","mean: 0.315405, var: 0.010907","mean: 0.054758, var: 0.001172","mean: 0.203955, var: 0.000209","mean: 0.114075, var: 0.002342","mean: 0.009237, var: 0.000106","mean: 0.112573, var: 0.000935","mean: 0.130371, var: 0.001525","mean: 0.360840, var: 0.004656","mean: 0.017036, var: 0.000221",2.647978476755869,Moderate
ENSP00000280758,"mean: 0.261475, var: 0.002577","mean: 0.544727, var: 0.002071","mean: 0.503662, var: 0.005940","mean: 0.056033, var: 0.001030","mean: 0.260449, var: 0.004987","mean: 0.108093, var: 0.001390","mean: 0.015521, var: 0.000226","mean: 0.197559, var: 0.001035","mean: 0.283496, var: 0.020033","mean: 0.322168, var: 0.002822","mean: 0.009874, var: 0.000180",2.9323544043759355,High
ENSP00000271636,"mean: 0.224658, var: 0.001329","mean: 0.667383, var: 0.007452","mean: 0.257275, var: 0.006477","mean: 0.088196, var: 0.002199","mean: 0.163452, var: 0.000173","mean: 0.131012, var: 0.002781","mean: 0.007416, var: 0.000053","mean: 0.118787, var: 0.002033","mean: 0.161072, var: 0.003298","mean: 0.329883, var: 0.002848","mean: 0.027632, var: 0.000210",2.779648851039191,Moderate
ENSP00000264868,"mean: 0.796777, var: 0.004701","mean: 0.223145, var: 0.000119","mean: 0.160400, var: 0.000424","mean: 0.143427, var: 0.006632","mean: 0.421387, var: 0.005658","mean: 0.286353, var: 0.004754","mean: 0.041907, var: 0.000806","mean: 0.654883, var: 0.004611","mean: 0.316455, var: 0.003435","mean: 0.448975, var: 0.001309","mean: 0.157849, var: 0.002635",3.235240740853204,High
ENSP00000262376,"mean: 0.043585, var: 0.000092","mean: 0.271851, var: 0.000539","mean: 0.890039, var: 0.001623","mean: 0.078537, var: 0.002455","mean: 0.031726, var: 0.000030","mean: 0.093217, var: 0.003236","mean: 0.009528, var: 0.000105","mean: 0.051093, var: 0.000113","mean: 0.054568, var: 0.001247","mean: 0.030298, var: 0.000270","mean: 0.016826, var: 0.000364",1.6544663092146312,Low
ENSP00000261609,"mean: 0.217480, var: 0.000490","mean: 0.597461, var: 0.004128","mean: 0.547266, var: 0.001562","mean: 0.091333, var: 0.001786","mean: 0.127771, var: 0.000145","mean: 0.278271, var: 0.005770","mean: 0.069102, var: 0.003881","mean: 0.161816, var: 0.000490","mean: 0.254004, var: 0.002631","mean: 0.269360, var: 0.004790","mean: 0.070667, var: 0.005522",3.1748885200930985,High
ENSP00000253048,"mean: 0.037820, var: 0.000257","mean: 0.364844, var: 0.004760","mean: 0.780957, var: 0.010144","mean: 0.291284, var: 0.012562","mean: 0.035414, var: 0.000337","mean: 0.055735, var: 0.001472","mean: 0.010463, var: 0.000046","mean: 0.083112, var: 0.000857","mean: 0.054791, var: 0.000198","mean: 0.096259, var: 0.001829","mean: 0.006867, var: 0.000066",1.996414009682815,Moderate
ENSP00000252996,"mean: 0.061749, var: 0.001011","mean: 0.441162, var: 0.000603","mean: 0.832910, var: 0.005803","mean: 0.127502, var: 0.002401","mean: 0.067700, var: 0.000571","mean: 0.073022, var: 0.001861","mean: 0.003157, var: 0.000013","mean: 0.052475, var: 0.000883","mean: 0.073076, var: 0.001417","mean: 0.097223, var: 0.001550","mean: 0.015232, var: 0.000368",1.975623572555343,Moderate
