ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000305839,"mean: 0.403662, var: 0.021090","mean: 0.434912, var: 0.006405","mean: 0.562109, var: 0.001398","mean: 0.190051, var: 0.004990","mean: 0.554419, var: 0.048784","mean: 0.234253, var: 0.002261","mean: 0.010545, var: 0.000100","mean: 0.162463, var: 0.001575","mean: 0.232141, var: 0.014468","mean: 0.314404, var: 0.004759","mean: 0.019782, var: 0.000292",3.158349463778587,High
ENSP00000382610,"mean: 0.314160, var: 0.003619","mean: 0.617773, var: 0.003025","mean: 0.344482, var: 0.000498","mean: 0.213086, var: 0.002091","mean: 0.409961, var: 0.009977","mean: 0.228296, var: 0.001360","mean: 0.009570, var: 0.000068","mean: 0.251709, var: 0.004812","mean: 0.244727, var: 0.004241","mean: 0.376514, var: 0.005233","mean: 0.075705, var: 0.002739",3.3600006273740273,High
ENSP00000496378,"mean: 0.334082, var: 0.002737","mean: 0.648145, var: 0.005611","mean: 0.307153, var: 0.007706","mean: 0.065741, var: 0.000441","mean: 0.185205, var: 0.000510","mean: 0.217908, var: 0.007654","mean: 0.019484, var: 0.000311","mean: 0.252783, var: 0.010865","mean: 0.449512, var: 0.014363","mean: 0.739551, var: 0.007505","mean: 0.046235, var: 0.001289",2.982235271548043,High
ENSP00000413889,"mean: 0.244751, var: 0.004022","mean: 0.561816, var: 0.001456","mean: 0.464307, var: 0.006311","mean: 0.049329, var: 0.001090","mean: 0.231055, var: 0.006523","mean: 0.124170, var: 0.001288","mean: 0.017159, var: 0.000273","mean: 0.178857, var: 0.000389","mean: 0.296191, var: 0.015112","mean: 0.352393, var: 0.002373","mean: 0.007370, var: 0.000091",2.912363969853309,High
ENSP00000349439,"mean: 0.470752, var: 0.012799","mean: 0.242114, var: 0.002099","mean: 0.245142, var: 0.001581","mean: 0.287231, var: 0.016855","mean: 0.239478, var: 0.001398","mean: 0.232996, var: 0.011892","mean: 0.015270, var: 0.000129","mean: 0.607031, var: 0.005157","mean: 0.233032, var: 0.003738","mean: 0.518115, var: 0.005563","mean: 0.039015, var: 0.000513",3.256286276657136,High
ENSP00000468082,"mean: 0.302686, var: 0.002401","mean: 0.584912, var: 0.010391","mean: 0.307959, var: 0.000396","mean: 0.325977, var: 0.015927","mean: 0.283765, var: 0.003950","mean: 0.427100, var: 0.004155","mean: 0.010197, var: 0.000077","mean: 0.195142, var: 0.003135","mean: 0.074475, var: 0.000021","mean: 0.131567, var: 0.000584","mean: 0.027368, var: 0.001002",3.0486923718713332,High
ENSP00000346701,"mean: 0.715723, var: 0.007146","mean: 0.301563, var: 0.000397","mean: 0.237354, var: 0.001746","mean: 0.169836, var: 0.008942","mean: 0.375732, var: 0.005402","mean: 0.166125, var: 0.002518","mean: 0.013390, var: 0.000038","mean: 0.559521, var: 0.005960","mean: 0.364404, var: 0.006273","mean: 0.618359, var: 0.004128","mean: 0.106238, var: 0.001254",3.19529870366533,High
ENSP00000332111,"mean: 0.131055, var: 0.000274","mean: 0.636914, var: 0.008903","mean: 0.403223, var: 0.006041","mean: 0.283032, var: 0.017080","mean: 0.129553, var: 0.001741","mean: 0.240234, var: 0.010143","mean: 0.124158, var: 0.002611","mean: 0.108264, var: 0.000473","mean: 0.067639, var: 0.001193","mean: 0.155713, var: 0.001267","mean: 0.279504, var: 0.016664",3.212272924030577,High
ENSP00000467054,"mean: 0.324072, var: 0.003414","mean: 0.598242, var: 0.004067","mean: 0.329419, var: 0.003893","mean: 0.139453, var: 0.001396","mean: 0.222632, var: 0.002647","mean: 0.211548, var: 0.001586","mean: 0.004402, var: 0.000020","mean: 0.212231, var: 0.001023","mean: 0.477734, var: 0.003560","mean: 0.425049, var: 0.002465","mean: 0.022543, var: 0.000592",3.13098379915064,High
ENSP00000357460,"mean: 0.223389, var: 0.001428","mean: 0.645020, var: 0.006593","mean: 0.240063, var: 0.004275","mean: 0.145264, var: 0.004661","mean: 0.201636, var: 0.001204","mean: 0.134802, var: 0.001517","mean: 0.008926, var: 0.000055","mean: 0.161816, var: 0.004011","mean: 0.339795, var: 0.015553","mean: 0.544238, var: 0.013016","mean: 0.034640, var: 0.000642",2.9846410414337927,High
ENSP00000505762,"mean: 0.408789, var: 0.004459","mean: 0.633594, var: 0.000278","mean: 0.281665, var: 0.001918","mean: 0.129712, var: 0.001578","mean: 0.496680, var: 0.008576","mean: 0.221436, var: 0.000728","mean: 0.004043, var: 0.000013","mean: 0.195068, var: 0.001045","mean: 0.375439, var: 0.001270","mean: 0.340845, var: 0.004427","mean: 0.057735, var: 0.002180",3.1984713778261455,High
ENSP00000391268,"mean: 0.674805, var: 0.007700","mean: 0.242505, var: 0.000123","mean: 0.138550, var: 0.000671","mean: 0.403931, var: 0.011808","mean: 0.674805, var: 0.011001","mean: 0.130676, var: 0.002993","mean: 0.007385, var: 0.000035","mean: 0.312354, var: 0.000742","mean: 0.363672, var: 0.009730","mean: 0.429590, var: 0.006434","mean: 0.063144, var: 0.000784",3.085316186035256,High
ENSP00000416289,"mean: 0.249316, var: 0.002618","mean: 0.477100, var: 0.002500","mean: 0.540430, var: 0.013966","mean: 0.121143, var: 0.000578","mean: 0.182031, var: 0.002927","mean: 0.323413, var: 0.006035","mean: 0.013110, var: 0.000101","mean: 0.378540, var: 0.009058","mean: 0.245746, var: 0.012088","mean: 0.246405, var: 0.014582","mean: 0.127438, var: 0.008853",3.3399792356723137,High
ENSP00000364372,"mean: 0.191113, var: 0.000690","mean: 0.554004, var: 0.005645","mean: 0.535352, var: 0.001813","mean: 0.079712, var: 0.002672","mean: 0.163379, var: 0.000655","mean: 0.137823, var: 0.004827","mean: 0.025191, var: 0.000281","mean: 0.254187, var: 0.010952","mean: 0.279956, var: 0.004869","mean: 0.336621, var: 0.024438","mean: 0.014491, var: 0.000332",2.9738837996902125,High
ENSP00000348828,"mean: 0.441504, var: 0.002830","mean: 0.643262, var: 0.002161","mean: 0.312646, var: 0.001930","mean: 0.103418, var: 0.002007","mean: 0.417383, var: 0.002318","mean: 0.154517, var: 0.001252","mean: 0.012848, var: 0.000070","mean: 0.187476, var: 0.001546","mean: 0.250708, var: 0.002990","mean: 0.282959, var: 0.004458","mean: 0.020457, var: 0.000309",3.0496068854185454,High
ENSP00000314914,"mean: 0.255225, var: 0.004876","mean: 0.650488, var: 0.002338","mean: 0.389258, var: 0.002029","mean: 0.127863, var: 0.004525","mean: 0.326465, var: 0.004828","mean: 0.255957, var: 0.006533","mean: 0.008181, var: 0.000040","mean: 0.202942, var: 0.007897","mean: 0.166272, var: 0.002033","mean: 0.194092, var: 0.001691","mean: 0.140045, var: 0.004082",3.227572424492754,High
ENSP00000500647,"mean: 0.311499, var: 0.003459","mean: 0.675977, var: 0.001164","mean: 0.376318, var: 0.003179","mean: 0.132227, var: 0.001595","mean: 0.402734, var: 0.006945","mean: 0.175244, var: 0.000327","mean: 0.005560, var: 0.000022","mean: 0.220312, var: 0.007645","mean: 0.165771, var: 0.000963","mean: 0.200122, var: 0.003280","mean: 0.018189, var: 0.000219",2.98971732963998,High
ENSP00000409731,"mean: 0.286646, var: 0.011362","mean: 0.664746, var: 0.006501","mean: 0.465137, var: 0.005041","mean: 0.336951, var: 0.036132","mean: 0.351685, var: 0.016931","mean: 0.240820, var: 0.000348","mean: 0.017276, var: 0.000243","mean: 0.103662, var: 0.000396","mean: 0.071417, var: 0.000557","mean: 0.136487, var: 0.001018","mean: 0.050366, var: 0.000310",2.9784511748278475,High
ENSP00000314004,"mean: 0.215649, var: 0.001174","mean: 0.607031, var: 0.005991","mean: 0.625488, var: 0.001612","mean: 0.113666, var: 0.001348","mean: 0.143567, var: 0.000581","mean: 0.219043, var: 0.003201","mean: 0.010511, var: 0.000159","mean: 0.185706, var: 0.006337","mean: 0.321533, var: 0.005786","mean: 0.486035, var: 0.003721","mean: 0.048513, var: 0.002479",3.0085918996420173,High
ENSP00000289746,"mean: 0.719434, var: 0.011834","mean: 0.269971, var: 0.000042","mean: 0.148730, var: 0.001044","mean: 0.237915, var: 0.006217","mean: 0.753027, var: 0.009031","mean: 0.098328, var: 0.002010","mean: 0.004092, var: 0.000013","mean: 0.253662, var: 0.001280","mean: 0.383398, var: 0.003808","mean: 0.303711, var: 0.000780","mean: 0.076752, var: 0.001616",2.95409262757948,High
ENSP00000288976,"mean: 0.187256, var: 0.001602","mean: 0.660840, var: 0.006411","mean: 0.371533, var: 0.003464","mean: 0.110925, var: 0.002950","mean: 0.247119, var: 0.003181","mean: 0.224414, var: 0.004576","mean: 0.012719, var: 0.000170","mean: 0.201685, var: 0.004811","mean: 0.227734, var: 0.011985","mean: 0.262207, var: 0.004182","mean: 0.039382, var: 0.001115",3.0737539860964467,High
ENSP00000450998,"mean: 0.487500, var: 0.010739","mean: 0.575195, var: 0.004672","mean: 0.355469, var: 0.003485","mean: 0.268933, var: 0.009621","mean: 0.587939, var: 0.020027","mean: 0.250928, var: 0.006782","mean: 0.052870, var: 0.001135","mean: 0.339551, var: 0.003449","mean: 0.251733, var: 0.014202","mean: 0.509033, var: 0.014075","mean: 0.104456, var: 0.006039",3.4975354137158075,High
ENSP00000376504,"mean: 0.212677, var: 0.008560","mean: 0.707129, var: 0.002877","mean: 0.347559, var: 0.001735","mean: 0.207971, var: 0.005111","mean: 0.225623, var: 0.014042","mean: 0.222644, var: 0.018255","mean: 0.009397, var: 0.000066","mean: 0.292603, var: 0.001383","mean: 0.213843, var: 0.010353","mean: 0.243127, var: 0.010022","mean: 0.074887, var: 0.002201",3.2097661295079685,High
ENSP00000430048,"mean: 0.101685, var: 0.000114","mean: 0.643652, var: 0.008519","mean: 0.442383, var: 0.007226","mean: 0.219946, var: 0.013053","mean: 0.104297, var: 0.000626","mean: 0.221326, var: 0.010600","mean: 0.118799, var: 0.003258","mean: 0.084851, var: 0.000368","mean: 0.069202, var: 0.001391","mean: 0.116882, var: 0.000285","mean: 0.322778, var: 0.010749",3.0425656750986896,High
ENSP00000288439,"mean: 0.816113, var: 0.003086","mean: 0.172803, var: 0.000144","mean: 0.134888, var: 0.000083","mean: 0.100177, var: 0.005523","mean: 0.535400, var: 0.003268","mean: 0.236182, var: 0.002708","mean: 0.043333, var: 0.002395","mean: 0.428174, var: 0.008280","mean: 0.415332, var: 0.008598","mean: 0.439893, var: 0.004940","mean: 0.050150, var: 0.001074",3.0207340850375126,High
ENSP00000419330,"mean: 0.302441, var: 0.000500","mean: 0.551367, var: 0.004526","mean: 0.359814, var: 0.006074","mean: 0.184265, var: 0.002615","mean: 0.150891, var: 0.000432","mean: 0.384497, var: 0.007240","mean: 0.041315, var: 0.000726","mean: 0.344409, var: 0.008303","mean: 0.283643, var: 0.002792","mean: 0.616602, var: 0.003818","mean: 0.118227, var: 0.008097",3.42901136357432,High
ENSP00000387099,"mean: 0.162988, var: 0.001698","mean: 0.574072, var: 0.007119","mean: 0.260156, var: 0.001352","mean: 0.661133, var: 0.001570","mean: 0.167615, var: 0.003195","mean: 0.259448, var: 0.008846","mean: 0.010740, var: 0.000152","mean: 0.261865, var: 0.005210","mean: 0.224390, var: 0.003903","mean: 0.273022, var: 0.007678","mean: 0.135875, var: 0.004757",3.2481154470766036,High
