ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000485253,"mean: 0.063306, var: 0.000037","mean: 0.281396, var: 0.001294","mean: 0.893457, var: 0.002721","mean: 0.059967, var: 0.000517","mean: 0.062494, var: 0.000066","mean: 0.090436, var: 0.001235","mean: 0.005372, var: 0.000022","mean: 0.055975, var: 0.000083","mean: 0.031522, var: 0.000128","mean: 0.081775, var: 0.000431","mean: 0.011155, var: 0.000187",1.74483818102398,Low
ENSP00000312277,"mean: 0.034448, var: 0.000018","mean: 0.322998, var: 0.006168","mean: 0.853223, var: 0.001121","mean: 0.044818, var: 0.000129","mean: 0.017477, var: 0.000031","mean: 0.072614, var: 0.002556","mean: 0.012053, var: 0.000124","mean: 0.051636, var: 0.000190","mean: 0.018686, var: 0.000118","mean: 0.056866, var: 0.000138","mean: 0.029223, var: 0.000835",1.5637525061942108,Low
ENSP00000370427,"mean: 0.086865, var: 0.000372","mean: 0.194653, var: 0.004407","mean: 0.881055, var: 0.001295","mean: 0.087036, var: 0.000950","mean: 0.119922, var: 0.002967","mean: 0.024327, var: 0.000696","mean: 0.010758, var: 0.000033","mean: 0.071722, var: 0.000742","mean: 0.031027, var: 0.000157","mean: 0.053558, var: 0.000326","mean: 0.004823, var: 0.000034",1.7276052749504154,Low
ENSP00000458025,"mean: 0.038809, var: 0.000065","mean: 0.359033, var: 0.001564","mean: 0.884961, var: 0.002941","mean: 0.138562, var: 0.002455","mean: 0.041074, var: 0.000510","mean: 0.113538, var: 0.004479","mean: 0.002544, var: 0.000011","mean: 0.072113, var: 0.000326","mean: 0.054724, var: 0.000025","mean: 0.036952, var: 0.000412","mean: 0.014581, var: 0.000266",1.8013597024594665,Low
ENSP00000359837,"mean: 0.057867, var: 0.000062","mean: 0.314136, var: 0.003522","mean: 0.910352, var: 0.001616","mean: 0.024782, var: 0.000074","mean: 0.042853, var: 0.000219","mean: 0.077295, var: 0.000796","mean: 0.024343, var: 0.000562","mean: 0.038654, var: 0.000236","mean: 0.042842, var: 0.000675","mean: 0.043901, var: 0.000759","mean: 0.017817, var: 0.000287",1.5987977445250574,Low
ENSP00000469029,"mean: 0.064331, var: 0.000342","mean: 0.276123, var: 0.004686","mean: 0.802246, var: 0.001292","mean: 0.101108, var: 0.010705","mean: 0.062567, var: 0.000400","mean: 0.108386, var: 0.003417","mean: 0.002851, var: 0.000009","mean: 0.081641, var: 0.000244","mean: 0.056210, var: 0.000697","mean: 0.052835, var: 0.000356","mean: 0.010690, var: 0.000138",1.941506004988537,Low
ENSP00000358904,"mean: 0.038232, var: 0.000030","mean: 0.284766, var: 0.001644","mean: 0.891895, var: 0.003176","mean: 0.114880, var: 0.004123","mean: 0.032791, var: 0.000049","mean: 0.093402, var: 0.004206","mean: 0.009964, var: 0.000070","mean: 0.052823, var: 0.000253","mean: 0.017290, var: 0.000098","mean: 0.066278, var: 0.001076","mean: 0.006781, var: 0.000053",1.6517701512866694,Low
ENSP00000362045,"mean: 0.044604, var: 0.000055","mean: 0.294214, var: 0.001548","mean: 0.848437, var: 0.002887","mean: 0.117957, var: 0.002153","mean: 0.027341, var: 0.000019","mean: 0.156195, var: 0.004674","mean: 0.015139, var: 0.000126","mean: 0.065521, var: 0.000299","mean: 0.013859, var: 0.000093","mean: 0.046963, var: 0.000332","mean: 0.020652, var: 0.000535",1.8037256674562625,Low
ENSP00000486816,"mean: 0.058936, var: 0.000042","mean: 0.298193, var: 0.001185","mean: 0.844531, var: 0.002907","mean: 0.117468, var: 0.001894","mean: 0.042078, var: 0.000068","mean: 0.169849, var: 0.004585","mean: 0.016460, var: 0.000111","mean: 0.076245, var: 0.000410","mean: 0.019339, var: 0.000201","mean: 0.061536, var: 0.000248","mean: 0.018866, var: 0.000473",1.9429997894861608,Low
ENSP00000253928,"mean: 0.028342, var: 0.000016","mean: 0.306445, var: 0.002913","mean: 0.885254, var: 0.001915","mean: 0.169537, var: 0.007052","mean: 0.028082, var: 0.000087","mean: 0.128943, var: 0.006015","mean: 0.011025, var: 0.000219","mean: 0.040475, var: 0.000194","mean: 0.037994, var: 0.000161","mean: 0.027885, var: 0.000177","mean: 0.022231, var: 0.000706",1.7248482220349997,Low
ENSP00000484716,"mean: 0.033713, var: 0.000138","mean: 0.220020, var: 0.001515","mean: 0.940625, var: 0.001515","mean: 0.041732, var: 0.000919","mean: 0.016559, var: 0.000075","mean: 0.071591, var: 0.001944","mean: 0.001817, var: 0.000004","mean: 0.077969, var: 0.000816","mean: 0.030139, var: 0.000229","mean: 0.052313, var: 0.000022","mean: 0.016868, var: 0.000296",1.4333713699200747,Low
ENSP00000349803,"mean: 0.073749, var: 0.000327","mean: 0.233398, var: 0.001386","mean: 0.817383, var: 0.001061","mean: 0.065573, var: 0.001927","mean: 0.053461, var: 0.000720","mean: 0.091431, var: 0.000585","mean: 0.003157, var: 0.000011","mean: 0.108008, var: 0.000521","mean: 0.038641, var: 0.000384","mean: 0.061681, var: 0.001536","mean: 0.010574, var: 0.000161",1.8548501809739097,Low
ENSP00000293771,"mean: 0.039056, var: 0.000008","mean: 0.183057, var: 0.000773","mean: 0.919238, var: 0.001579","mean: 0.044826, var: 0.001710","mean: 0.028076, var: 0.000039","mean: 0.072946, var: 0.002240","mean: 0.009310, var: 0.000039","mean: 0.076782, var: 0.000977","mean: 0.036353, var: 0.000181","mean: 0.061575, var: 0.000287","mean: 0.009324, var: 0.000118",1.5216963015511393,Low
ENSP00000365931,"mean: 0.043707, var: 0.000114","mean: 0.275269, var: 0.001454","mean: 0.931348, var: 0.001269","mean: 0.072333, var: 0.001752","mean: 0.050903, var: 0.000053","mean: 0.080325, var: 0.001764","mean: 0.007279, var: 0.000065","mean: 0.028154, var: 0.000069","mean: 0.014053, var: 0.000070","mean: 0.031300, var: 0.000135","mean: 0.011723, var: 0.000177",1.4590979328055864,Low
ENSP00000379843,"mean: 0.093091, var: 0.000420","mean: 0.279248, var: 0.001897","mean: 0.892188, var: 0.000375","mean: 0.040854, var: 0.000457","mean: 0.112262, var: 0.001140","mean: 0.095752, var: 0.000962","mean: 0.004513, var: 0.000013","mean: 0.059332, var: 0.000071","mean: 0.049261, var: 0.000500","mean: 0.051190, var: 0.001392","mean: 0.015252, var: 0.000255",1.8360199892167157,Low
ENSP00000238146,"mean: 0.055298, var: 0.000152","mean: 0.152124, var: 0.001745","mean: 0.834473, var: 0.002997","mean: 0.122968, var: 0.004177","mean: 0.032935, var: 0.000056","mean: 0.166199, var: 0.003691","mean: 0.005499, var: 0.000043","mean: 0.051959, var: 0.000271","mean: 0.029895, var: 0.000316","mean: 0.057431, var: 0.000398","mean: 0.011776, var: 0.000233",1.7695398879243167,Low
ENSP00000455982,"mean: 0.060492, var: 0.000104","mean: 0.220483, var: 0.001216","mean: 0.842480, var: 0.002307","mean: 0.023201, var: 0.000279","mean: 0.034897, var: 0.000069","mean: 0.160571, var: 0.005752","mean: 0.026175, var: 0.000747","mean: 0.032608, var: 0.000020","mean: 0.032648, var: 0.000264","mean: 0.024409, var: 0.000140","mean: 0.052845, var: 0.001971",1.7102630177532854,Low
ENSP00000419765,"mean: 0.056482, var: 0.000376","mean: 0.118787, var: 0.001968","mean: 0.925879, var: 0.002164","mean: 0.124268, var: 0.013732","mean: 0.036328, var: 0.000131","mean: 0.038324, var: 0.001279","mean: 0.004282, var: 0.000014","mean: 0.036843, var: 0.000446","mean: 0.161035, var: 0.018820","mean: 0.072205, var: 0.000080","mean: 0.010375, var: 0.000130",1.66747398475357,Low
ENSP00000351383,"mean: 0.041730, var: 0.000060","mean: 0.226611, var: 0.004496","mean: 0.947754, var: 0.001273","mean: 0.205145, var: 0.016510","mean: 0.035751, var: 0.000218","mean: 0.029155, var: 0.000565","mean: 0.003109, var: 0.000012","mean: 0.069342, var: 0.000548","mean: 0.030827, var: 0.000363","mean: 0.056348, var: 0.000852","mean: 0.004796, var: 0.000034",1.5648837096268349,Low
ENSP00000377782,"mean: 0.052722, var: 0.000055","mean: 0.188354, var: 0.001405","mean: 0.947168, var: 0.000579","mean: 0.049292, var: 0.001789","mean: 0.044836, var: 0.000292","mean: 0.081528, var: 0.002032","mean: 0.022803, var: 0.000708","mean: 0.019476, var: 0.000050","mean: 0.014741, var: 0.000051","mean: 0.044620, var: 0.000235","mean: 0.013429, var: 0.000158",1.4346696848754137,Low
ENSP00000294409,"mean: 0.032983, var: 0.000078","mean: 0.214062, var: 0.000623","mean: 0.893164, var: 0.004375","mean: 0.108569, var: 0.001662","mean: 0.025662, var: 0.000013","mean: 0.046112, var: 0.001577","mean: 0.008896, var: 0.000067","mean: 0.025476, var: 0.000037","mean: 0.021505, var: 0.000210","mean: 0.031963, var: 0.000225","mean: 0.007431, var: 0.000089",1.384903361630819,Low
ENSP00000364118,"mean: 0.044589, var: 0.000251","mean: 0.302881, var: 0.000591","mean: 0.877734, var: 0.005271","mean: 0.085464, var: 0.003352","mean: 0.043530, var: 0.000197","mean: 0.136694, var: 0.004991","mean: 0.012778, var: 0.000219","mean: 0.030824, var: 0.000360","mean: 0.053802, var: 0.000495","mean: 0.053403, var: 0.000702","mean: 0.035645, var: 0.001375",1.8290983406995425,Low
ENSP00000500467,"mean: 0.041217, var: 0.000083","mean: 0.344385, var: 0.002357","mean: 0.833691, var: 0.003181","mean: 0.125793, var: 0.001544","mean: 0.047528, var: 0.000191","mean: 0.099554, var: 0.001534","mean: 0.002975, var: 0.000011","mean: 0.044702, var: 0.000227","mean: 0.030433, var: 0.000311","mean: 0.055988, var: 0.000575","mean: 0.009064, var: 0.000097",1.7519769033229378,Low
ENSP00000403411,"mean: 0.115125, var: 0.001848","mean: 0.246790, var: 0.004331","mean: 0.865625, var: 0.002271","mean: 0.012303, var: 0.000037","mean: 0.064905, var: 0.000756","mean: 0.259888, var: 0.003036","mean: 0.007271, var: 0.000070","mean: 0.048199, var: 0.000786","mean: 0.081839, var: 0.001349","mean: 0.043784, var: 0.001109","mean: 0.036809, var: 0.002044",1.9462333746826432,Low
ENSP00000391200,"mean: 0.058521, var: 0.000065","mean: 0.238989, var: 0.002017","mean: 0.872559, var: 0.001956","mean: 0.075555, var: 0.002276","mean: 0.057343, var: 0.000179","mean: 0.119794, var: 0.002811","mean: 0.001773, var: 0.000004","mean: 0.087878, var: 0.000786","mean: 0.071008, var: 0.000564","mean: 0.072882, var: 0.000597","mean: 0.015554, var: 0.000294",1.9087848608705698,Low
ENSP00000262366,"mean: 0.055524, var: 0.000404","mean: 0.373828, var: 0.000860","mean: 0.901855, var: 0.000142","mean: 0.025287, var: 0.000490","mean: 0.039780, var: 0.000271","mean: 0.092349, var: 0.002473","mean: 0.001915, var: 0.000007","mean: 0.048233, var: 0.000704","mean: 0.094122, var: 0.003426","mean: 0.053162, var: 0.000577","mean: 0.018572, var: 0.000384",1.6734236316969773,Low
ENSP00000309826,"mean: 0.062714, var: 0.000317","mean: 0.301074, var: 0.000907","mean: 0.880273, var: 0.001518","mean: 0.031738, var: 0.000878","mean: 0.055902, var: 0.000134","mean: 0.168152, var: 0.005710","mean: 0.024360, var: 0.000356","mean: 0.049304, var: 0.000382","mean: 0.033118, var: 0.000518","mean: 0.057507, var: 0.000478","mean: 0.011577, var: 0.000225",1.7854505083219452,Low
ENSP00000302993,"mean: 0.038199, var: 0.000057","mean: 0.224109, var: 0.004030","mean: 0.948242, var: 0.001175","mean: 0.198669, var: 0.018951","mean: 0.031230, var: 0.000190","mean: 0.026108, var: 0.000494","mean: 0.003177, var: 0.000012","mean: 0.068707, var: 0.000633","mean: 0.030475, var: 0.000372","mean: 0.052853, var: 0.000868","mean: 0.004353, var: 0.000028",1.5225130530638347,Low
ENSP00000368867,"mean: 0.076892, var: 0.000791","mean: 0.217944, var: 0.003515","mean: 0.930664, var: 0.000585","mean: 0.030612, var: 0.000905","mean: 0.040982, var: 0.000074","mean: 0.110321, var: 0.002157","mean: 0.025802, var: 0.001139","mean: 0.031699, var: 0.000075","mean: 0.016619, var: 0.000141","mean: 0.051804, var: 0.000453","mean: 0.025587, var: 0.000507",1.5960196858745048,Low
ENSP00000486501,"mean: 0.051221, var: 0.000093","mean: 0.390088, var: 0.002435","mean: 0.846191, var: 0.006433","mean: 0.050701, var: 0.001443","mean: 0.055243, var: 0.000121","mean: 0.142761, var: 0.005826","mean: 0.007245, var: 0.000090","mean: 0.070361, var: 0.000065","mean: 0.028583, var: 0.000112","mean: 0.031895, var: 0.000310","mean: 0.031125, var: 0.000963",1.7917544312959879,Low
ENSP00000355743,"mean: 0.049622, var: 0.000132","mean: 0.252759, var: 0.000257","mean: 0.897168, var: 0.004252","mean: 0.083636, var: 0.002025","mean: 0.045401, var: 0.000280","mean: 0.123193, var: 0.000672","mean: 0.008830, var: 0.000053","mean: 0.057309, var: 0.000613","mean: 0.030794, var: 0.000079","mean: 0.055185, var: 0.000716","mean: 0.004459, var: 0.000036",1.6967030817521715,Low
ENSP00000274054,"mean: 0.021266, var: 0.000122","mean: 0.514258, var: 0.002532","mean: 0.790430, var: 0.004071","mean: 0.171289, var: 0.002581","mean: 0.025649, var: 0.000322","mean: 0.090118, var: 0.001702","mean: 0.005579, var: 0.000038","mean: 0.157043, var: 0.001777","mean: 0.026703, var: 0.000406","mean: 0.075751, var: 0.000363","mean: 0.013176, var: 0.000110",1.891759268320072,Low
ENSP00000355427,"mean: 0.056567, var: 0.000071","mean: 0.238794, var: 0.002603","mean: 0.866797, var: 0.002233","mean: 0.084717, var: 0.002764","mean: 0.055304, var: 0.000190","mean: 0.114276, var: 0.003034","mean: 0.002005, var: 0.000005","mean: 0.085535, var: 0.000877","mean: 0.070636, var: 0.000598","mean: 0.079352, var: 0.000742","mean: 0.018288, var: 0.000453",1.9296945255391056,Low
ENSP00000388173,"mean: 0.066296, var: 0.000314","mean: 0.313306, var: 0.003348","mean: 0.932422, var: 0.001646","mean: 0.070285, var: 0.001614","mean: 0.061926, var: 0.000205","mean: 0.092944, var: 0.003003","mean: 0.006722, var: 0.000065","mean: 0.041730, var: 0.000269","mean: 0.028801, var: 0.000168","mean: 0.030264, var: 0.000122","mean: 0.015624, var: 0.000231",1.627646990806113,Low
ENSP00000357914,"mean: 0.039966, var: 0.000020","mean: 0.280029, var: 0.004469","mean: 0.921191, var: 0.002626","mean: 0.102185, var: 0.000771","mean: 0.035590, var: 0.000038","mean: 0.047621, var: 0.001179","mean: 0.007076, var: 0.000067","mean: 0.050055, var: 0.000348","mean: 0.030447, var: 0.000383","mean: 0.043442, var: 0.000660","mean: 0.012995, var: 0.000241",1.5414438028010058,Low
ENSP00000423712,"mean: 0.108142, var: 0.000482","mean: 0.422900, var: 0.005832","mean: 0.590332, var: 0.002629","mean: 0.035617, var: 0.000560","mean: 0.050305, var: 0.000055","mean: 0.092926, var: 0.001255","mean: 0.004580, var: 0.000028","mean: 0.029575, var: 0.000054","mean: 0.037952, var: 0.000486","mean: 0.072870, var: 0.000328","mean: 0.024658, var: 0.000724",1.9407101055692852,Low
ENSP00000331927,"mean: 0.058990, var: 0.000183","mean: 0.165503, var: 0.001472","mean: 0.749219, var: 0.006570","mean: 0.100864, var: 0.007360","mean: 0.042364, var: 0.000084","mean: 0.122485, var: 0.003027","mean: 0.003069, var: 0.000011","mean: 0.035928, var: 0.000131","mean: 0.034265, var: 0.000042","mean: 0.030774, var: 0.000204","mean: 0.017875, var: 0.000358",1.735413157303738,Low
ENSP00000252115,"mean: 0.056134, var: 0.000092","mean: 0.442480, var: 0.003118","mean: 0.731152, var: 0.003537","mean: 0.039987, var: 0.000647","mean: 0.052484, var: 0.000104","mean: 0.075604, var: 0.001660","mean: 0.006540, var: 0.000052","mean: 0.028873, var: 0.000029","mean: 0.031163, var: 0.000221","mean: 0.046933, var: 0.000236","mean: 0.013162, var: 0.000163",1.6739351366286757,Low
ENSP00000357881,"mean: 0.046634, var: 0.000161","mean: 0.329590, var: 0.004956","mean: 0.836719, var: 0.001397","mean: 0.052142, var: 0.001229","mean: 0.037408, var: 0.000052","mean: 0.093860, var: 0.001948","mean: 0.014342, var: 0.000152","mean: 0.032007, var: 0.000141","mean: 0.028656, var: 0.000267","mean: 0.032262, var: 0.000184","mean: 0.019057, var: 0.000324",1.6160186630375941,Low
ENSP00000283921,"mean: 0.080469, var: 0.001078","mean: 0.305884, var: 0.006421","mean: 0.878125, var: 0.003475","mean: 0.043080, var: 0.000357","mean: 0.073557, var: 0.000676","mean: 0.106522, var: 0.002091","mean: 0.003712, var: 0.000016","mean: 0.050632, var: 0.000585","mean: 0.045950, var: 0.001036","mean: 0.050700, var: 0.001502","mean: 0.023162, var: 0.000513",1.7969562383021414,Low
ENSP00000228741,"mean: 0.035092, var: 0.000041","mean: 0.361621, var: 0.006376","mean: 0.928613, var: 0.001197","mean: 0.091522, var: 0.001961","mean: 0.019176, var: 0.000036","mean: 0.075565, var: 0.001741","mean: 0.007498, var: 0.000071","mean: 0.093079, var: 0.000378","mean: 0.022826, var: 0.000077","mean: 0.029469, var: 0.000176","mean: 0.021289, var: 0.000306",1.5737643444447793,Low
ENSP00000296839,"mean: 0.062769, var: 0.000585","mean: 0.345068, var: 0.003221","mean: 0.829395, var: 0.003466","mean: 0.056287, var: 0.001753","mean: 0.092853, var: 0.001087","mean: 0.168689, var: 0.003765","mean: 0.003722, var: 0.000023","mean: 0.044019, var: 0.000223","mean: 0.028802, var: 0.000088","mean: 0.031110, var: 0.000211","mean: 0.031799, var: 0.001146",1.8569988655931782,Low
ENSP00000388357,"mean: 0.040991, var: 0.000084","mean: 0.310840, var: 0.001738","mean: 0.899902, var: 0.002712","mean: 0.094702, var: 0.000973","mean: 0.026739, var: 0.000062","mean: 0.063312, var: 0.000930","mean: 0.010977, var: 0.000137","mean: 0.032060, var: 0.000210","mean: 0.021272, var: 0.000250","mean: 0.041121, var: 0.000660","mean: 0.007491, var: 0.000079",1.4934486882328444,Low
ENSP00000315587,"mean: 0.070355, var: 0.000635","mean: 0.293213, var: 0.000448","mean: 0.854395, var: 0.004825","mean: 0.073419, var: 0.000587","mean: 0.045773, var: 0.000594","mean: 0.092078, var: 0.000472","mean: 0.004395, var: 0.000018","mean: 0.067163, var: 0.000205","mean: 0.064120, var: 0.001104","mean: 0.079282, var: 0.001649","mean: 0.008002, var: 0.000132",1.854406579536897,Low
ENSP00000401014,"mean: 0.056122, var: 0.000343","mean: 0.404346, var: 0.003742","mean: 0.788867, var: 0.001349","mean: 0.029502, var: 0.000407","mean: 0.084082, var: 0.000400","mean: 0.146545, var: 0.003812","mean: 0.047025, var: 0.002188","mean: 0.029440, var: 0.000025","mean: 0.011589, var: 0.000041","mean: 0.017924, var: 0.000120","mean: 0.022291, var: 0.000282",1.7644935121738659,Low
ENSP00000313822,"mean: 0.048871, var: 0.000076","mean: 0.318652, var: 0.000594","mean: 0.848340, var: 0.001700","mean: 0.055838, var: 0.001222","mean: 0.026007, var: 0.000033","mean: 0.169885, var: 0.002597","mean: 0.011203, var: 0.000105","mean: 0.028073, var: 0.000079","mean: 0.035825, var: 0.000285","mean: 0.100110, var: 0.000529","mean: 0.014374, var: 0.000378",1.769909320907809,Low
ENSP00000265732,"mean: 0.039880, var: 0.000051","mean: 0.377393, var: 0.001175","mean: 0.870801, var: 0.001409","mean: 0.050504, var: 0.000500","mean: 0.052332, var: 0.000313","mean: 0.058597, var: 0.001085","mean: 0.004816, var: 0.000026","mean: 0.057153, var: 0.000164","mean: 0.015516, var: 0.000083","mean: 0.047507, var: 0.000328","mean: 0.013370, var: 0.000253",1.5444781428802585,Low
ENSP00000370532,"mean: 0.031357, var: 0.000048","mean: 0.274365, var: 0.000632","mean: 0.879590, var: 0.001875","mean: 0.032159, var: 0.000504","mean: 0.039365, var: 0.000088","mean: 0.078049, var: 0.001925","mean: 0.012038, var: 0.000073","mean: 0.049451, var: 0.000013","mean: 0.022649, var: 0.000101","mean: 0.031944, var: 0.000212","mean: 0.011479, var: 0.000162",1.4621503924746542,Low
ENSP00000431778,"mean: 0.051154, var: 0.000348","mean: 0.294775, var: 0.000494","mean: 0.863477, var: 0.003689","mean: 0.099261, var: 0.001278","mean: 0.042911, var: 0.000509","mean: 0.069965, var: 0.000704","mean: 0.005767, var: 0.000035","mean: 0.043256, var: 0.000087","mean: 0.049182, var: 0.000508","mean: 0.067950, var: 0.000908","mean: 0.007618, var: 0.000120",1.722998801779118,Low
ENSP00000355979,"mean: 0.034351, var: 0.000114","mean: 0.404443, var: 0.001576","mean: 0.887598, var: 0.003590","mean: 0.077371, var: 0.001185","mean: 0.044434, var: 0.000092","mean: 0.098285, var: 0.003564","mean: 0.033363, var: 0.001185","mean: 0.064047, var: 0.000810","mean: 0.063562, var: 0.000387","mean: 0.032259, var: 0.000509","mean: 0.054345, var: 0.003416",1.8857882158944712,Low
ENSP00000453463,"mean: 0.050140, var: 0.000070","mean: 0.300244, var: 0.005876","mean: 0.883105, var: 0.003021","mean: 0.152686, var: 0.001606","mean: 0.033722, var: 0.000077","mean: 0.093243, var: 0.003521","mean: 0.008516, var: 0.000087","mean: 0.045792, var: 0.000211","mean: 0.036932, var: 0.000449","mean: 0.057480, var: 0.000998","mean: 0.010328, var: 0.000154",1.7585986184268996,Low
ENSP00000303315,"mean: 0.110352, var: 0.000915","mean: 0.230957, var: 0.002224","mean: 0.868359, var: 0.001984","mean: 0.026227, var: 0.000051","mean: 0.069855, var: 0.000443","mean: 0.116724, var: 0.001724","mean: 0.006979, var: 0.000087","mean: 0.044092, var: 0.000356","mean: 0.033939, var: 0.000134","mean: 0.049127, var: 0.000038","mean: 0.004501, var: 0.000037",1.69583776241696,Low
ENSP00000484534,"mean: 0.037653, var: 0.000032","mean: 0.391064, var: 0.002317","mean: 0.904297, var: 0.002704","mean: 0.020233, var: 0.000046","mean: 0.023424, var: 0.000159","mean: 0.339453, var: 0.018682","mean: 0.006723, var: 0.000065","mean: 0.027652, var: 0.000166","mean: 0.057162, var: 0.000683","mean: 0.018520, var: 0.000236","mean: 0.101027, var: 0.006724",1.717117510999803,Low
ENSP00000222567,"mean: 0.042905, var: 0.000195","mean: 0.233325, var: 0.002593","mean: 0.874512, var: 0.003479","mean: 0.126288, var: 0.002658","mean: 0.027800, var: 0.000147","mean: 0.052664, var: 0.001575","mean: 0.005546, var: 0.000020","mean: 0.103143, var: 0.001621","mean: 0.028754, var: 0.000044","mean: 0.078119, var: 0.000940","mean: 0.012463, var: 0.000225",1.7268469690795138,Low
ENSP00000204517,"mean: 0.057697, var: 0.000284","mean: 0.359521, var: 0.008007","mean: 0.922266, var: 0.002008","mean: 0.041406, var: 0.000254","mean: 0.042480, var: 0.000082","mean: 0.128455, var: 0.001000","mean: 0.002596, var: 0.000012","mean: 0.019264, var: 0.000046","mean: 0.078339, var: 0.000143","mean: 0.111536, var: 0.001245","mean: 0.014907, var: 0.000311",1.7350346618997152,Low
ENSP00000503132,"mean: 0.114661, var: 0.001200","mean: 0.239624, var: 0.003626","mean: 0.892969, var: 0.001140","mean: 0.028497, var: 0.000011","mean: 0.053809, var: 0.000618","mean: 0.134521, var: 0.002358","mean: 0.013688, var: 0.000353","mean: 0.050568, var: 0.000281","mean: 0.048059, var: 0.000333","mean: 0.105444, var: 0.001635","mean: 0.005245, var: 0.000037",1.8405294040314537,Low
