ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Expected_Entropy,Mutual_Information,Uncertainty_Level
ENSP00000414689,"mean: 0.295728, var: 0.006282","mean: 0.280762, var: 0.001306","mean: 0.259277, var: 0.000360","mean: 0.747070, var: 0.002082","mean: 0.384302, var: 0.022821","mean: 0.173389, var: 0.003089","mean: 0.010610, var: 0.000111","mean: 0.236572, var: 0.002112","mean: 0.124207, var: 0.000670","mean: 0.183325, var: 0.000960","mean: 0.022266, var: 0.000287",3.0001383507625965,0.18828609588059117,2.8118522548820053,Moderate
ENSP00000414510,"mean: 0.279346, var: 0.004143","mean: 0.752539, var: 0.014452","mean: 0.254419, var: 0.002767","mean: 0.270044, var: 0.016881","mean: 0.305615, var: 0.002824","mean: 0.217163, var: 0.001280","mean: 0.017946, var: 0.000166","mean: 0.160083, var: 0.000558","mean: 0.233398, var: 0.002956","mean: 0.462109, var: 0.002198","mean: 0.033385, var: 0.001427",3.141142684865213,0.23991038732380687,2.901232297541406,Moderate
ENSP00000412763,"mean: 0.716357, var: 0.019575","mean: 0.240625, var: 0.000281","mean: 0.118518, var: 0.000242","mean: 0.345654, var: 0.018667","mean: 0.664893, var: 0.025717","mean: 0.141394, var: 0.003868","mean: 0.032751, var: 0.000053","mean: 0.220190, var: 0.002733","mean: 0.384473, var: 0.015292","mean: 0.378955, var: 0.001537","mean: 0.069620, var: 0.000978",3.1155663909938425,0.3685656375879627,2.74700075340588,Moderate
ENSP00000410157,"mean: 0.265674, var: 0.004511","mean: 0.527881, var: 0.003472","mean: 0.464648, var: 0.006012","mean: 0.043033, var: 0.001073","mean: 0.272681, var: 0.005104","mean: 0.124329, var: 0.000824","mean: 0.015127, var: 0.000187","mean: 0.208569, var: 0.002709","mean: 0.283936, var: 0.010792","mean: 0.288086, var: 0.000077","mean: 0.006624, var: 0.000081",2.9340184973830223,0.18288335582816245,2.75113514155486,Moderate
ENSP00000407046,"mean: 0.815332, var: 0.001952","mean: 0.317871, var: 0.002785","mean: 0.153882, var: 0.002359","mean: 0.072925, var: 0.001240","mean: 0.528271, var: 0.005348","mean: 0.145227, var: 0.004233","mean: 0.016694, var: 0.000184","mean: 0.452197, var: 0.003266","mean: 0.399463, var: 0.006537","mean: 0.551318, var: 0.003298","mean: 0.049475, var: 0.000070",2.897818280113319,0.17492122440657001,2.722897055706749,Moderate
ENSP00000400217,"mean: 0.262305, var: 0.003031","mean: 0.260937, var: 0.000425","mean: 0.146155, var: 0.000946","mean: 0.862793, var: 0.002405","mean: 0.299292, var: 0.005278","mean: 0.169153, var: 0.007350","mean: 0.015447, var: 0.000129","mean: 0.293896, var: 0.005778","mean: 0.268140, var: 0.007342","mean: 0.298999, var: 0.003090","mean: 0.039011, var: 0.000614",3.036390723214098,0.19517589209517053,2.8412148311189274,Moderate
ENSP00000386239,"mean: 0.156628, var: 0.001324","mean: 0.557568, var: 0.006748","mean: 0.608398, var: 0.006036","mean: 0.130194, var: 0.001989","mean: 0.167749, var: 0.002696","mean: 0.361011, var: 0.003799","mean: 0.004023, var: 0.000021","mean: 0.187231, var: 0.003086","mean: 0.101379, var: 0.000427","mean: 0.144202, var: 0.001262","mean: 0.039600, var: 0.001629",2.8261815728449045,0.16309591834236703,2.663085654502537,Moderate
ENSP00000382269,"mean: 0.278735, var: 0.002036","mean: 0.665918, var: 0.003644","mean: 0.524609, var: 0.007258","mean: 0.055547, var: 0.001800","mean: 0.195142, var: 0.001044","mean: 0.221582, var: 0.001313","mean: 0.076666, var: 0.003226","mean: 0.201416, var: 0.004889","mean: 0.269934, var: 0.023361","mean: 0.208911, var: 0.001631","mean: 0.020864, var: 0.000549",3.059612547403191,0.2429382121307388,2.8166743352724524,Moderate
ENSP00000381170,"mean: 0.266919, var: 0.004683","mean: 0.765430, var: 0.003181","mean: 0.473779, var: 0.003124","mean: 0.047232, var: 0.000797","mean: 0.303345, var: 0.005127","mean: 0.148657, var: 0.003347","mean: 0.008672, var: 0.000079","mean: 0.124316, var: 0.000710","mean: 0.137769, var: 0.000962","mean: 0.223096, var: 0.000291","mean: 0.053912, var: 0.001545",2.76604657540413,0.13816769836184503,2.627878877042285,Moderate
ENSP00000380888,"mean: 0.195288, var: 0.001521","mean: 0.608789, var: 0.007676","mean: 0.617090, var: 0.015189","mean: 0.029522, var: 0.000819","mean: 0.106531, var: 0.000423","mean: 0.331787, var: 0.003009","mean: 0.021912, var: 0.000198","mean: 0.165137, var: 0.000813","mean: 0.300366, var: 0.001953","mean: 0.204248, var: 0.004735","mean: 0.080710, var: 0.004072",2.897550583768178,0.2048362111513876,2.6927143726167904,Moderate
ENSP00000379083,"mean: 0.312915, var: 0.009113","mean: 0.629687, var: 0.009693","mean: 0.412109, var: 0.006004","mean: 0.384790, var: 0.047246","mean: 0.305957, var: 0.008407","mean: 0.231665, var: 0.001182","mean: 0.029465, var: 0.000608","mean: 0.090320, var: 0.000294","mean: 0.052625, var: 0.000830","mean: 0.150037, var: 0.000789","mean: 0.038292, var: 0.000219",2.974270384676565,0.33108847869828306,2.643181905978282,Moderate
ENSP00000366757,"mean: 0.367676, var: 0.001926","mean: 0.798145, var: 0.002358","mean: 0.162231, var: 0.003024","mean: 0.063324, var: 0.000721","mean: 0.411572, var: 0.004968","mean: 0.192114, var: 0.001085","mean: 0.005903, var: 0.000014","mean: 0.208691, var: 0.002389","mean: 0.204883, var: 0.000646","mean: 0.344727, var: 0.000316","mean: 0.025937, var: 0.000342",2.8438950413537665,0.10742340479324393,2.7364716365605224,Moderate
ENSP00000364003,"mean: 0.350220, var: 0.008770","mean: 0.624902, var: 0.001605","mean: 0.399316, var: 0.003972","mean: 0.073810, var: 0.001624","mean: 0.414453, var: 0.006460","mean: 0.255078, var: 0.001416","mean: 0.010527, var: 0.000021","mean: 0.230444, var: 0.009095","mean: 0.223633, var: 0.007190","mean: 0.226611, var: 0.003780","mean: 0.055801, var: 0.000745",3.1522941066330032,0.23102922117569577,2.9212648854573073,Moderate
ENSP00000363891,"mean: 0.853320, var: 0.002377","mean: 0.149683, var: 0.000130","mean: 0.120154, var: 0.000200","mean: 0.073691, var: 0.005331","mean: 0.561133, var: 0.004584","mean: 0.208472, var: 0.003086","mean: 0.023443, var: 0.000874","mean: 0.420752, var: 0.013295","mean: 0.433887, var: 0.010481","mean: 0.438379, var: 0.005587","mean: 0.038742, var: 0.000612",2.8194940600486076,0.2325368950006539,2.586957165047954,Moderate
ENSP00000362580,"mean: 0.360449, var: 0.010293","mean: 0.669336, var: 0.002124","mean: 0.306250, var: 0.001306","mean: 0.101306, var: 0.001865","mean: 0.518848, var: 0.013514","mean: 0.187732, var: 0.002587","mean: 0.007873, var: 0.000024","mean: 0.111243, var: 0.000244","mean: 0.210205, var: 0.003502","mean: 0.177136, var: 0.001821","mean: 0.047449, var: 0.000884",2.946847791755678,0.19393334852897212,2.7529144432267056,Moderate
ENSP00000357206,"mean: 0.189392, var: 0.005435","mean: 0.660742, var: 0.009499","mean: 0.395361, var: 0.002998","mean: 0.242944, var: 0.004992","mean: 0.193982, var: 0.005910","mean: 0.263977, var: 0.010383","mean: 0.005566, var: 0.000040","mean: 0.121033, var: 0.001870","mean: 0.197803, var: 0.004338","mean: 0.353857, var: 0.010283","mean: 0.036031, var: 0.001401",3.0616531432423058,0.28623253085786826,2.7754206123844374,Moderate
ENSP00000353010,"mean: 0.520703, var: 0.001360","mean: 0.451660, var: 0.004942","mean: 0.312012, var: 0.001885","mean: 0.069916, var: 0.000269","mean: 0.250464, var: 0.002227","mean: 0.591895, var: 0.003213","mean: 0.031541, var: 0.000388","mean: 0.395459, var: 0.006008","mean: 0.374756, var: 0.008254","mean: 0.520459, var: 0.007756","mean: 0.048659, var: 0.002006",3.2360414551448162,0.20481751653101699,3.0312239386137994,Moderate
ENSP00000348564,"mean: 0.204858, var: 0.000483","mean: 0.602637, var: 0.005556","mean: 0.441162, var: 0.002583","mean: 0.140503, var: 0.002232","mean: 0.137854, var: 0.001132","mean: 0.237427, var: 0.005902","mean: 0.007655, var: 0.000069","mean: 0.318848, var: 0.012845","mean: 0.199731, var: 0.001525","mean: 0.332471, var: 0.006316","mean: 0.109863, var: 0.004730",3.213543287482083,0.22331971115591526,2.990223576326168,Moderate
ENSP00000344383,"mean: 0.302783, var: 0.000689","mean: 0.626172, var: 0.001704","mean: 0.435400, var: 0.002194","mean: 0.121021, var: 0.000466","mean: 0.207520, var: 0.000914","mean: 0.173682, var: 0.000778","mean: 0.024191, var: 0.000129","mean: 0.298999, var: 0.004906","mean: 0.332422, var: 0.010532","mean: 0.510938, var: 0.007249","mean: 0.034285, var: 0.000648",3.1787203645459416,0.16052206136149738,3.018198303184444,Moderate
ENSP00000301607,"mean: 0.209912, var: 0.000316","mean: 0.644824, var: 0.009116","mean: 0.393115, var: 0.000923","mean: 0.151892, var: 0.001661","mean: 0.197168, var: 0.001862","mean: 0.186450, var: 0.000064","mean: 0.022210, var: 0.000107","mean: 0.085193, var: 0.000885","mean: 0.195752, var: 0.002117","mean: 0.276758, var: 0.002461","mean: 0.027851, var: 0.001008",2.966094650023991,0.11674261267633224,2.849352037347659,Moderate
ENSP00000294383,"mean: 0.208643, var: 0.000132","mean: 0.646973, var: 0.009876","mean: 0.549561, var: 0.011071","mean: 0.083636, var: 0.001414","mean: 0.213062, var: 0.002366","mean: 0.122034, var: 0.001680","mean: 0.025977, var: 0.000401","mean: 0.151416, var: 0.000564","mean: 0.231348, var: 0.003587","mean: 0.322314, var: 0.001772","mean: 0.023578, var: 0.000919",2.90393849836007,0.17615409975362842,2.7277843986064414,Moderate
ENSP00000281282,"mean: 0.207837, var: 0.000320","mean: 0.722852, var: 0.007297","mean: 0.315405, var: 0.010907","mean: 0.054758, var: 0.001172","mean: 0.203955, var: 0.000209","mean: 0.114075, var: 0.002342","mean: 0.009237, var: 0.000106","mean: 0.112573, var: 0.000935","mean: 0.130371, var: 0.001525","mean: 0.360840, var: 0.004656","mean: 0.017036, var: 0.000221",2.647978476755869,0.15586540306818908,2.49211307368768,Moderate
ENSP00000280758,"mean: 0.261475, var: 0.002577","mean: 0.544727, var: 0.002071","mean: 0.503662, var: 0.005940","mean: 0.056033, var: 0.001030","mean: 0.260449, var: 0.004987","mean: 0.108093, var: 0.001390","mean: 0.015521, var: 0.000226","mean: 0.197559, var: 0.001035","mean: 0.283496, var: 0.020033","mean: 0.322168, var: 0.002822","mean: 0.009874, var: 0.000180",2.9323544043759355,0.20673531603687836,2.725619088339057,Moderate
ENSP00000271636,"mean: 0.224658, var: 0.001329","mean: 0.667383, var: 0.007452","mean: 0.257275, var: 0.006477","mean: 0.088196, var: 0.002199","mean: 0.163452, var: 0.000173","mean: 0.131012, var: 0.002781","mean: 0.007416, var: 0.000053","mean: 0.118787, var: 0.002033","mean: 0.161072, var: 0.003298","mean: 0.329883, var: 0.002848","mean: 0.027632, var: 0.000210",2.779648851039191,0.15972125510266544,2.6199275959365256,Moderate
ENSP00000264868,"mean: 0.796777, var: 0.004701","mean: 0.223145, var: 0.000119","mean: 0.160400, var: 0.000424","mean: 0.143427, var: 0.006632","mean: 0.421387, var: 0.005658","mean: 0.286353, var: 0.004754","mean: 0.041907, var: 0.000806","mean: 0.654883, var: 0.004611","mean: 0.316455, var: 0.003435","mean: 0.448975, var: 0.001309","mean: 0.157849, var: 0.002635",3.235240740853204,0.1919145681995984,3.0433261726536056,Moderate
ENSP00000261609,"mean: 0.217480, var: 0.000490","mean: 0.597461, var: 0.004128","mean: 0.547266, var: 0.001562","mean: 0.091333, var: 0.001786","mean: 0.127771, var: 0.000145","mean: 0.278271, var: 0.005770","mean: 0.069102, var: 0.003881","mean: 0.161816, var: 0.000490","mean: 0.254004, var: 0.002631","mean: 0.269360, var: 0.004790","mean: 0.070667, var: 0.005522",3.1748885200930985,0.1740246853496994,3.000863834743399,Moderate
ENSP00000244007,"mean: 0.437988, var: 0.012514","mean: 0.657129, var: 0.002482","mean: 0.393823, var: 0.015401","mean: 0.072620, var: 0.001695","mean: 0.470459, var: 0.014300","mean: 0.160547, var: 0.003072","mean: 0.007230, var: 0.000038","mean: 0.154736, var: 0.000681","mean: 0.265259, var: 0.001405","mean: 0.265869, var: 0.000751","mean: 0.012571, var: 0.000182",2.9269644194073554,0.24486659218443846,2.682097827222917,Moderate
ENSP00000416033,"mean: 0.116650, var: 0.000932","mean: 0.695020, var: 0.017194","mean: 0.371826, var: 0.002193","mean: 0.279736, var: 0.009142","mean: 0.156921, var: 0.002077","mean: 0.209814, var: 0.008401","mean: 0.011782, var: 0.000147","mean: 0.148242, var: 0.001832","mean: 0.094470, var: 0.000123","mean: 0.156372, var: 0.000130","mean: 0.062793, var: 0.000316",2.8681223291235116,0.2033411008697401,2.6647812282537715,Moderate
ENSP00000364042,"mean: 0.686328, var: 0.009689","mean: 0.243433, var: 0.000335","mean: 0.135901, var: 0.000580","mean: 0.517676, var: 0.010631","mean: 0.649170, var: 0.016262","mean: 0.115393, var: 0.001089","mean: 0.007146, var: 0.000036","mean: 0.298267, var: 0.002942","mean: 0.448047, var: 0.004755","mean: 0.414062, var: 0.004669","mean: 0.031138, var: 0.000286",2.9730057641153205,0.2449864268733357,2.7280193372419848,Moderate
ENSP00000305839,"mean: 0.403662, var: 0.021090","mean: 0.434912, var: 0.006405","mean: 0.562109, var: 0.001398","mean: 0.190051, var: 0.004990","mean: 0.554419, var: 0.048784","mean: 0.234253, var: 0.002261","mean: 0.010545, var: 0.000100","mean: 0.162463, var: 0.001575","mean: 0.232141, var: 0.014468","mean: 0.314404, var: 0.004759","mean: 0.019782, var: 0.000292",3.158349463778587,0.41068392780324436,2.747665535975343,Moderate
ENSP00000463929,"mean: 0.816504, var: 0.006592","mean: 0.175781, var: 0.000973","mean: 0.159839, var: 0.000177","mean: 0.020482, var: 0.000238","mean: 0.469092, var: 0.012325","mean: 0.181958, var: 0.002555","mean: 0.011262, var: 0.000079","mean: 0.479883, var: 0.001210","mean: 0.581152, var: 0.037294","mean: 0.483691, var: 0.015896","mean: 0.016566, var: 0.000340",2.6464862335122445,0.3128746133216196,2.333611620190625,Moderate
ENSP00000496378,"mean: 0.334082, var: 0.002737","mean: 0.648145, var: 0.005611","mean: 0.307153, var: 0.007706","mean: 0.065741, var: 0.000441","mean: 0.185205, var: 0.000510","mean: 0.217908, var: 0.007654","mean: 0.019484, var: 0.000311","mean: 0.252783, var: 0.010865","mean: 0.449512, var: 0.014363","mean: 0.739551, var: 0.007505","mean: 0.046235, var: 0.001289",2.982235271548043,0.2851699999062738,2.697065271641769,Moderate
ENSP00000413889,"mean: 0.244751, var: 0.004022","mean: 0.561816, var: 0.001456","mean: 0.464307, var: 0.006311","mean: 0.049329, var: 0.001090","mean: 0.231055, var: 0.006523","mean: 0.124170, var: 0.001288","mean: 0.017159, var: 0.000273","mean: 0.178857, var: 0.000389","mean: 0.296191, var: 0.015112","mean: 0.352393, var: 0.002373","mean: 0.007370, var: 0.000091",2.912363969853309,0.19633646650135345,2.716027503351955,Moderate
ENSP00000349439,"mean: 0.470752, var: 0.012799","mean: 0.242114, var: 0.002099","mean: 0.245142, var: 0.001581","mean: 0.287231, var: 0.016855","mean: 0.239478, var: 0.001398","mean: 0.232996, var: 0.011892","mean: 0.015270, var: 0.000129","mean: 0.607031, var: 0.005157","mean: 0.233032, var: 0.003738","mean: 0.518115, var: 0.005563","mean: 0.039015, var: 0.000513",3.256286276657136,0.2916147671741513,2.9646715094829847,Moderate
ENSP00000468082,"mean: 0.302686, var: 0.002401","mean: 0.584912, var: 0.010391","mean: 0.307959, var: 0.000396","mean: 0.325977, var: 0.015927","mean: 0.283765, var: 0.003950","mean: 0.427100, var: 0.004155","mean: 0.010197, var: 0.000077","mean: 0.195142, var: 0.003135","mean: 0.074475, var: 0.000021","mean: 0.131567, var: 0.000584","mean: 0.027368, var: 0.001002",3.0486923718713332,0.2059029269614459,2.8427894449098874,Moderate
ENSP00000416951,"mean: 0.168860, var: 0.016603","mean: 0.331445, var: 0.002792","mean: 0.622021, var: 0.027533","mean: 0.208813, var: 0.006350","mean: 0.219702, var: 0.026699","mean: 0.191528, var: 0.013017","mean: 0.002548, var: 0.000005","mean: 0.177979, var: 0.014881","mean: 0.033189, var: 0.000267","mean: 0.122705, var: 0.007349","mean: 0.007534, var: 0.000030",2.667962497584743,0.4700326282403436,2.1979298693443994,Moderate
ENSP00000346701,"mean: 0.715723, var: 0.007146","mean: 0.301563, var: 0.000397","mean: 0.237354, var: 0.001746","mean: 0.169836, var: 0.008942","mean: 0.375732, var: 0.005402","mean: 0.166125, var: 0.002518","mean: 0.013390, var: 0.000038","mean: 0.559521, var: 0.005960","mean: 0.364404, var: 0.006273","mean: 0.618359, var: 0.004128","mean: 0.106238, var: 0.001254",3.19529870366533,0.2287269822473158,2.9665717214180143,Moderate
ENSP00000332111,"mean: 0.131055, var: 0.000274","mean: 0.636914, var: 0.008903","mean: 0.403223, var: 0.006041","mean: 0.283032, var: 0.017080","mean: 0.129553, var: 0.001741","mean: 0.240234, var: 0.010143","mean: 0.124158, var: 0.002611","mean: 0.108264, var: 0.000473","mean: 0.067639, var: 0.001193","mean: 0.155713, var: 0.001267","mean: 0.279504, var: 0.016664",3.212272924030577,0.3061551377940804,2.9061177862364964,Moderate
ENSP00000467054,"mean: 0.324072, var: 0.003414","mean: 0.598242, var: 0.004067","mean: 0.329419, var: 0.003893","mean: 0.139453, var: 0.001396","mean: 0.222632, var: 0.002647","mean: 0.211548, var: 0.001586","mean: 0.004402, var: 0.000020","mean: 0.212231, var: 0.001023","mean: 0.477734, var: 0.003560","mean: 0.425049, var: 0.002465","mean: 0.022543, var: 0.000592",3.13098379915064,0.14501993883530748,2.9859638603153327,Moderate
ENSP00000357460,"mean: 0.223389, var: 0.001428","mean: 0.645020, var: 0.006593","mean: 0.240063, var: 0.004275","mean: 0.145264, var: 0.004661","mean: 0.201636, var: 0.001204","mean: 0.134802, var: 0.001517","mean: 0.008926, var: 0.000055","mean: 0.161816, var: 0.004011","mean: 0.339795, var: 0.015553","mean: 0.544238, var: 0.013016","mean: 0.034640, var: 0.000642",2.9846410414337927,0.2574160914866378,2.727224949947155,Moderate
ENSP00000505762,"mean: 0.408789, var: 0.004459","mean: 0.633594, var: 0.000278","mean: 0.281665, var: 0.001918","mean: 0.129712, var: 0.001578","mean: 0.496680, var: 0.008576","mean: 0.221436, var: 0.000728","mean: 0.004043, var: 0.000013","mean: 0.195068, var: 0.001045","mean: 0.375439, var: 0.001270","mean: 0.340845, var: 0.004427","mean: 0.057735, var: 0.002180",3.1984713778261455,0.1478078512815409,3.0506635265446045,Moderate
ENSP00000391268,"mean: 0.674805, var: 0.007700","mean: 0.242505, var: 0.000123","mean: 0.138550, var: 0.000671","mean: 0.403931, var: 0.011808","mean: 0.674805, var: 0.011001","mean: 0.130676, var: 0.002993","mean: 0.007385, var: 0.000035","mean: 0.312354, var: 0.000742","mean: 0.363672, var: 0.009730","mean: 0.429590, var: 0.006434","mean: 0.063144, var: 0.000784",3.085316186035256,0.25176701129297474,2.833549174742281,Moderate
ENSP00000364372,"mean: 0.191113, var: 0.000690","mean: 0.554004, var: 0.005645","mean: 0.535352, var: 0.001813","mean: 0.079712, var: 0.002672","mean: 0.163379, var: 0.000655","mean: 0.137823, var: 0.004827","mean: 0.025191, var: 0.000281","mean: 0.254187, var: 0.010952","mean: 0.279956, var: 0.004869","mean: 0.336621, var: 0.024438","mean: 0.014491, var: 0.000332",2.9738837996902125,0.26309814163981043,2.710785658050402,Moderate
ENSP00000348828,"mean: 0.441504, var: 0.002830","mean: 0.643262, var: 0.002161","mean: 0.312646, var: 0.001930","mean: 0.103418, var: 0.002007","mean: 0.417383, var: 0.002318","mean: 0.154517, var: 0.001252","mean: 0.012848, var: 0.000070","mean: 0.187476, var: 0.001546","mean: 0.250708, var: 0.002990","mean: 0.282959, var: 0.004458","mean: 0.020457, var: 0.000309",3.0496068854185454,0.1314974642111611,2.9181094212073844,Moderate
ENSP00000450393,"mean: 0.141602, var: 0.000275","mean: 0.460840, var: 0.005353","mean: 0.455566, var: 0.008461","mean: 0.178033, var: 0.015643","mean: 0.075287, var: 0.000202","mean: 0.364233, var: 0.010179","mean: 0.018565, var: 0.000259","mean: 0.123303, var: 0.000148","mean: 0.059900, var: 0.000524","mean: 0.098389, var: 0.000562","mean: 0.028296, var: 0.000736",2.6915591340819516,0.2010031775960835,2.490555956485868,Moderate
ENSP00000314914,"mean: 0.255225, var: 0.004876","mean: 0.650488, var: 0.002338","mean: 0.389258, var: 0.002029","mean: 0.127863, var: 0.004525","mean: 0.326465, var: 0.004828","mean: 0.255957, var: 0.006533","mean: 0.008181, var: 0.000040","mean: 0.202942, var: 0.007897","mean: 0.166272, var: 0.002033","mean: 0.194092, var: 0.001691","mean: 0.140045, var: 0.004082",3.227572424492754,0.2202353366408839,3.0073370878518704,Moderate
ENSP00000500647,"mean: 0.311499, var: 0.003459","mean: 0.675977, var: 0.001164","mean: 0.376318, var: 0.003179","mean: 0.132227, var: 0.001595","mean: 0.402734, var: 0.006945","mean: 0.175244, var: 0.000327","mean: 0.005560, var: 0.000022","mean: 0.220312, var: 0.007645","mean: 0.165771, var: 0.000963","mean: 0.200122, var: 0.003280","mean: 0.018189, var: 0.000219",2.98971732963998,0.15795616409489013,2.83176116554509,Moderate
ENSP00000383392,"mean: 0.810254, var: 0.006181","mean: 0.207617, var: 0.000260","mean: 0.094348, var: 0.000341","mean: 0.383252, var: 0.016608","mean: 0.820508, var: 0.010024","mean: 0.047162, var: 0.000546","mean: 0.014332, var: 0.000044","mean: 0.272510, var: 0.002433","mean: 0.342041, var: 0.002803","mean: 0.323633, var: 0.003355","mean: 0.033844, var: 0.000352",2.655306970055142,0.2080809947667864,2.4472259752883554,Moderate
ENSP00000027335,"mean: 0.774707, var: 0.013082","mean: 0.236377, var: 0.000099","mean: 0.109827, var: 0.000878","mean: 0.274658, var: 0.012636","mean: 0.794824, var: 0.013018","mean: 0.059259, var: 0.000863","mean: 0.011238, var: 0.000044","mean: 0.240283, var: 0.001776","mean: 0.308472, var: 0.003425","mean: 0.257471, var: 0.000211","mean: 0.046053, var: 0.000282",2.733150067000067,0.2168944636089984,2.516255603391069,Moderate
ENSP00000409731,"mean: 0.286646, var: 0.011362","mean: 0.664746, var: 0.006501","mean: 0.465137, var: 0.005041","mean: 0.336951, var: 0.036132","mean: 0.351685, var: 0.016931","mean: 0.240820, var: 0.000348","mean: 0.017276, var: 0.000243","mean: 0.103662, var: 0.000396","mean: 0.071417, var: 0.000557","mean: 0.136487, var: 0.001018","mean: 0.050366, var: 0.000310",2.9784511748278475,0.3209075480303214,2.6575436267975263,Moderate
