Cell membrane,Cytoplasm,Endoplasmic reticulum,Extracellular,Golgi apparatus,Lysosome/Vacuole,Membrane,Mitochondrion,Nucleus,Peroxisome,Plastid
"(0.78466797, 0.76367188, 0.76464844, 0.80810547, 0.76708984) mean: 0.77763672, var: 0.00029055",,,,,,"(0.85937500, 0.81445312, 0.79296875, 0.82031250, 0.78759766) mean: 0.81494141, var: 0.00064678",,,,
,"(0.54833984, 0.51708984, 0.50048828, 0.52490234, 0.68945312) mean: 0.55605468, var: 0.00468620",,,,,,,,,
,,,,,,,,,,
,,,,,,"(0.87060547, 0.83203125, 0.77099609, 0.84667969, 0.77197266) mean: 0.81845703, var: 0.00162272",,,,
,,,"(0.81445312, 0.74707031, 0.90869141, 0.93115234, 0.84716797) mean: 0.84970703, var: 0.00437922",,,,,,,
,"(0.46655273, 0.58984375, 0.49560547, 0.84423828, 0.71435547) mean: 0.62211914, var: 0.01981855",,,,,,,,,
,"(0.79589844, 0.77832031, 0.70947266, 0.78369141, 0.87841797) mean: 0.78916016, var: 0.00290197",,,,,,,,,
,"(0.55078125, 0.55566406, 0.52343750, 0.65820312, 0.56787109) mean: 0.57119140, var: 0.00210403",,,,,,,"(0.71923828, 0.70605469, 0.73925781, 0.54882812, 0.75195312) mean: 0.69306640, var: 0.00545193",,
,,,,,,,,"(0.95751953, 0.91943359, 0.93896484, 0.96191406, 0.95849609) mean: 0.94726562, var: 0.00025787",,
,"(0.70068359, 0.81054688, 0.64111328, 0.75000000, 0.75048828) mean: 0.73056641, var: 0.00321325",,,,,,,"(0.51904297, 0.39794922, 0.61816406, 0.52001953, 0.60205078) mean: 0.53144531, var: 0.00612217",,
,"(0.74902344, 0.88525391, 0.83984375, 0.82763672, 0.81640625) mean: 0.82363281, var: 0.00193895",,,,,,,"(0.54492188, 0.51025391, 0.58056641, 0.47387695, 0.55029297) mean: 0.53198242, var: 0.00134230",,
,"(0.65966797, 0.64941406, 0.60253906, 0.65917969, 0.73974609) mean: 0.66210937, var: 0.00195036",,,,,,,"(0.56591797, 0.62451172, 0.73925781, 0.70947266, 0.62158203) mean: 0.65214844, var: 0.00400158",,
,"(0.61962891, 0.64550781, 0.65625000, 0.75976562, 0.65380859) mean: 0.66699219, var: 0.00232019",,,,,,,,,
,,,,,,,,"(0.90917969, 0.87646484, 0.87695312, 0.87451172, 0.92724609) mean: 0.89287109, var: 0.00046144",,
,"(0.59570312, 0.57910156, 0.56152344, 0.65332031, 0.67041016) mean: 0.61201172, var: 0.00180298",,,,,,,,,
,"(0.81982422, 0.85546875, 0.81152344, 0.86376953, 0.77148438) mean: 0.82441406, var: 0.00110041",,,,,,,,,
,"(0.65136719, 0.67675781, 0.66064453, 0.61962891, 0.63916016) mean: 0.64951172, var: 0.00037397",,,,,,,,,
"(0.53125000, 0.60449219, 0.62841797, 0.68212891, 0.70800781) mean: 0.63085938, var: 0.00384073",,,,,,"(0.81103516, 0.92285156, 0.87402344, 0.93847656, 0.88623047) mean: 0.88652344, var: 0.00197474",,,,
,,,,,,,,"(0.84765625, 0.79589844, 0.80517578, 0.82031250, 0.93164062) mean: 0.84013672, var: 0.00240036",,
"(0.64208984, 0.69677734, 0.56982422, 0.58496094, 0.47924805) mean: 0.59458008, var: 0.00534166","(0.68603516, 0.70507812, 0.72119141, 0.71191406, 0.67578125) mean: 0.70000000, var: 0.00027967",,,,,,,,,
,"(0.71240234, 0.61865234, 0.77246094, 0.71435547, 0.72119141) mean: 0.70781250, var: 0.00247437",,,,,,,,,
,"(0.70654297, 0.75537109, 0.70556641, 0.76123047, 0.74658203) mean: 0.73505859, var: 0.00058266",,,,,,,"(0.56494141, 0.47167969, 0.66992188, 0.50390625, 0.67041016) mean: 0.57617188, var: 0.00678740",,
,"(0.53076172, 0.48632812, 0.44873047, 0.55566406, 0.45361328) mean: 0.49501953, var: 0.00177759",,,,,,,"(0.84472656, 0.83740234, 0.83007812, 0.78076172, 0.88134766) mean: 0.83486328, var: 0.00104288",,
,"(0.58007812, 0.50976562, 0.46215820, 0.53271484, 0.60009766) mean: 0.53696289, var: 0.00243968",,,,,,,"(0.81347656, 0.72119141, 0.75537109, 0.70703125, 0.79882812) mean: 0.75917969, var: 0.00173944",,
,"(0.55468750, 0.54589844, 0.40429688, 0.46972656, 0.38232422) mean: 0.47138672, var: 0.00498539",,,,,"(0.53320312, 0.67578125, 0.55761719, 0.49902344, 0.50488281) mean: 0.55410156, var: 0.00414223",,,,
,"(0.69970703, 0.73583984, 0.73925781, 0.68750000, 0.59472656) mean: 0.69140625, var: 0.00273905",,,,,,,,,
"(0.80468750, 0.84863281, 0.79150391, 0.66503906, 0.68359375) mean: 0.75869141, var: 0.00513844",,,,,,"(0.86767578, 0.92626953, 0.85937500, 0.79199219, 0.78710938) mean: 0.84648438, var: 0.00269514",,,,
,"(0.65234375, 0.56640625, 0.52294922, 0.49414062, 0.46752930) mean: 0.54067383, var: 0.00419239",,,,,,,"(0.54589844, 0.64062500, 0.62402344, 0.39062500, 0.66210938) mean: 0.57265625, var: 0.00982231",,
,"(0.64648438, 0.64355469, 0.64013672, 0.66943359, 0.67041016) mean: 0.65400391, var: 0.00017305",,,,,,,,,
,"(0.64453125, 0.70117188, 0.63671875, 0.68310547, 0.75537109) mean: 0.68417969, var: 0.00183653",,,,,,,,,
,,,,,,,,"(0.76757812, 0.71435547, 0.77734375, 0.77880859, 0.73730469) mean: 0.75507812, var: 0.00063787",,
,"(0.60351562, 0.51660156, 0.46777344, 0.53564453, 0.60156250) mean: 0.54501953, var: 0.00269627",,,,,,,"(0.79150391, 0.70166016, 0.76855469, 0.69970703, 0.79589844) mean: 0.75146485, var: 0.00180578",,
,,,,,,,,"(0.67871094, 0.87207031, 0.76953125, 0.85937500, 0.89501953) mean: 0.81494141, var: 0.00645428",,
,"(0.69433594, 0.66845703, 0.71826172, 0.69189453, 0.74023438) mean: 0.70263672, var: 0.00060205",,,,,,,,,
,"(0.54589844, 0.52343750, 0.61669922, 0.69873047, 0.57568359) mean: 0.59208984, var: 0.00381876",,,,,,,"(0.61767578, 0.61572266, 0.70214844, 0.51660156, 0.63476562) mean: 0.61738281, var: 0.00352942",,
,,,"(0.89941406, 0.88574219, 0.95263672, 0.91308594, 0.93164062) mean: 0.91650391, var: 0.00055695",,,,,,,
,"(0.70800781, 0.67626953, 0.69433594, 0.70166016, 0.62890625) mean: 0.68183594, var: 0.00081335",,,,,,,"(0.51367188, 0.54833984, 0.65820312, 0.44750977, 0.60351562) mean: 0.55424805, var: 0.00526167",,
,"(0.78955078, 0.79345703, 0.69482422, 0.87353516, 0.78613281) mean: 0.78750000, var: 0.00320648",,,,,,,,,
,"(0.55371094, 0.58886719, 0.54101562, 0.54199219, 0.65039062) mean: 0.57519531, var: 0.00171471",,,,,,,"(0.51806641, 0.54296875, 0.59375000, 0.48974609, 0.55957031) mean: 0.54082031, var: 0.00125681",,
,"(0.70556641, 0.72656250, 0.67822266, 0.80029297, 0.65625000) mean: 0.71337891, var: 0.00245771",,,,,,,,,
,,"(0.72216797, 0.73583984, 0.65527344, 0.65722656, 0.63232422) mean: 0.68056641, var: 0.00165953",,,,"(0.83837891, 0.85205078, 0.85986328, 0.86279297, 0.81201172) mean: 0.84501953, var: 0.00034386",,,,
,,,,,,,,"(0.93310547, 0.91162109, 0.91015625, 0.92382812, 0.93652344) mean: 0.92304687, var: 0.00011602",,
,"(0.58935547, 0.72900391, 0.61132812, 0.63476562, 0.60400391) mean: 0.63369141, var: 0.00248655",,,,,,,"(0.54687500, 0.50830078, 0.63330078, 0.54687500, 0.52636719) mean: 0.55234375, var: 0.00184568",,
,,,,,,,,"(0.80810547, 0.79199219, 0.90478516, 0.87451172, 0.74121094) mean: 0.82412110, var: 0.00344175",,
,"(0.52832031, 0.58691406, 0.44580078, 0.49584961, 0.43969727) mean: 0.49931641, var: 0.00298899",,,,,,,"(0.91503906, 0.92333984, 0.87109375, 0.87695312, 0.94287109) mean: 0.90585937, var: 0.00076078",,
,,,,,,,,"(0.90966797, 0.91162109, 0.92187500, 0.89746094, 0.92578125) mean: 0.91328125, var: 0.00009924",,
"(0.55712891, 0.56982422, 0.45581055, 0.65869141, 0.53808594) mean: 0.55590821, var: 0.00421934","(0.69726562, 0.68408203, 0.61767578, 0.73046875, 0.78076172) mean: 0.70205078, var: 0.00289358",,,,,"(0.56005859, 0.48803711, 0.39794922, 0.55908203, 0.41723633) mean: 0.48447266, var: 0.00465991",,,,
,,,,,,,,"(0.75439453, 0.68994141, 0.67529297, 0.67480469, 0.70703125) mean: 0.70029297, var: 0.00087084",,
,"(0.80126953, 0.74072266, 0.80029297, 0.77099609, 0.71142578) mean: 0.76494141, var: 0.00121132",,,,,,,,,
"(0.77441406, 0.74560547, 0.68652344, 0.78710938, 0.77734375) mean: 0.75419922, var: 0.00133625",,,,,,"(0.78955078, 0.74951172, 0.68994141, 0.80761719, 0.80371094) mean: 0.76806641, var: 0.00194883",,,,
,,,,,,,"(0.89013672, 0.92138672, 0.82763672, 0.89892578, 0.83837891) mean: 0.87529297, var: 0.00130745",,,
"(0.69775391, 0.53271484, 0.68017578, 0.78759766, 0.79638672) mean: 0.69892578, var: 0.00906807",,,,,,"(0.49414062, 0.38208008, 0.47973633, 0.55859375, 0.61181641) mean: 0.50527344, var: 0.00602943",,"(0.64794922, 0.63183594, 0.58691406, 0.59130859, 0.54882812) mean: 0.60136719, var: 0.00123373",,
"(0.56591797, 0.57812500, 0.59033203, 0.60937500, 0.55908203) mean: 0.58056641, var: 0.00032148",,,,,"(0.68945312, 0.56250000, 0.75292969, 0.85595703, 0.64306641) mean: 0.70078125, var: 0.00987600","(0.86621094, 0.84570312, 0.85888672, 0.92041016, 0.87109375) mean: 0.87246094, var: 0.00064806",,,,
,"(0.59130859, 0.66113281, 0.62792969, 0.72998047, 0.61279297) mean: 0.64462891, var: 0.00233854",,,,,,,,,
,"(0.68310547, 0.68505859, 0.63476562, 0.79199219, 0.72509766) mean: 0.70400391, var: 0.00275530",,,"(0.82910156, 0.83203125, 0.87451172, 0.71533203, 0.77978516) mean: 0.80615234, var: 0.00296259",,,,,,
,"(0.57617188, 0.57373047, 0.56152344, 0.58837891, 0.67480469) mean: 0.59492188, var: 0.00166803",,,,,,,,,
,,"(0.69287109, 0.77783203, 0.63378906, 0.67187500, 0.76757812) mean: 0.70878906, var: 0.00309282",,,,"(0.60791016, 0.65039062, 0.55322266, 0.45727539, 0.56005859) mean: 0.56577148, var: 0.00417952",,,,
,,,,,,,,"(0.94091797, 0.94970703, 0.94580078, 0.93359375, 0.96044922) mean: 0.94609375, var: 0.00008045",,
,"(0.68896484, 0.67626953, 0.57617188, 0.63720703, 0.59082031) mean: 0.63388672, var: 0.00200533",,,,,,,,,
,,,,,,,,"(0.68505859, 0.60449219, 0.76757812, 0.67578125, 0.82080078) mean: 0.71074219, var: 0.00570284",,
,,,,,,"(0.80468750, 0.75146484, 0.78710938, 0.72119141, 0.84228516) mean: 0.78134766, var: 0.00176062",,,,
,"(0.70849609, 0.69189453, 0.65820312, 0.69238281, 0.59765625) mean: 0.66972656, var: 0.00156694",,,,,,,,,
,,,,,,,,"(0.64990234, 0.83007812, 0.80126953, 0.88330078, 0.78076172) mean: 0.78906250, var: 0.00602932",,
,,,,,,,,"(0.94140625, 0.92529297, 0.92138672, 0.96093750, 0.94482422) mean: 0.93876953, var: 0.00020376",,
,,,,,,,,"(0.87939453, 0.90966797, 0.90234375, 0.88281250, 0.88476562) mean: 0.89179687, var: 0.00014292",,
,,,,,,,,"(0.91406250, 0.87548828, 0.91601562, 0.93212891, 0.94189453) mean: 0.91591797, var: 0.00051512",,
,"(0.64013672, 0.66308594, 0.54101562, 0.62646484, 0.64257812) mean: 0.62265625, var: 0.00180334",,,,"(0.60449219, 0.60839844, 0.53173828, 0.60156250, 0.57519531) mean: 0.58427734, var: 0.00082642",,,,,
,,,,,,,,"(0.91943359, 0.92138672, 0.92773438, 0.92675781, 0.92871094) mean: 0.92480469, var: 0.00001364",,
,"(0.70166016, 0.62304688, 0.60986328, 0.77197266, 0.73046875) mean: 0.68740235, var: 0.00387281",,,,,,,,,
,,,,,,,,"(0.84765625, 0.85791016, 0.85253906, 0.86181641, 0.85058594) mean: 0.85410156, var: 0.00002607",,
,"(0.61669922, 0.64355469, 0.60351562, 0.74365234, 0.71240234) mean: 0.66396484, var: 0.00300020",,,,,,,"(0.77392578, 0.79199219, 0.77832031, 0.63134766, 0.84228516) mean: 0.76357422, var: 0.00496229",,
"(0.50195312, 0.46704102, 0.59570312, 0.57812500, 0.60839844) mean: 0.55024414, var: 0.00309611","(0.69287109, 0.65332031, 0.64648438, 0.63964844, 0.60058594) mean: 0.64658203, var: 0.00087036",,,,,"(0.42602539, 0.45751953, 0.47509766, 0.47460938, 0.60839844) mean: 0.48833008, var: 0.00392219",,,,
"(0.74951172, 0.77832031, 0.71679688, 0.77685547, 0.78515625) mean: 0.76132813, var: 0.00064405",,,,,,"(0.75097656, 0.83349609, 0.71142578, 0.73046875, 0.79589844) mean: 0.76445312, var: 0.00198084",,,,
,"(0.50585938, 0.54833984, 0.51806641, 0.54931641, 0.52490234) mean: 0.52929688, var: 0.00029163",,,,,,,"(0.77832031, 0.61376953, 0.75488281, 0.74121094, 0.77441406) mean: 0.73251953, var: 0.00370602",,
,,,,,,,,"(0.94384766, 0.88671875, 0.94384766, 0.94482422, 0.95605469) mean: 0.93505860, var: 0.00060549",,
,,,,,,,,"(0.84912109, 0.85791016, 0.79589844, 0.82275391, 0.86816406) mean: 0.83876953, var: 0.00068640",,
,"(0.49902344, 0.49877930, 0.49072266, 0.47949219, 0.47143555) mean: 0.48789063, var: 0.00011837",,,,,,,"(0.65820312, 0.47802734, 0.53564453, 0.48632812, 0.64208984) mean: 0.56005859, var: 0.00582457",,
,,,,,,,,"(0.92578125, 0.93115234, 0.93408203, 0.95800781, 0.90771484) mean: 0.93134765, var: 0.00026155",,
,"(0.52441406, 0.56494141, 0.58984375, 0.69580078, 0.63037109) mean: 0.60107422, var: 0.00342798",,,,,,,"(0.55517578, 0.64062500, 0.56445312, 0.54101562, 0.54589844) mean: 0.56943359, var: 0.00133156",,
,"(0.63769531, 0.68359375, 0.69921875, 0.71386719, 0.64306641) mean: 0.67548828, var: 0.00091625",,,,,"(0.48901367, 0.55712891, 0.46704102, 0.51513672, 0.54101562) mean: 0.51386719, var: 0.00108412",,,,
,"(0.84033203, 0.80078125, 0.75537109, 0.86132812, 0.61230469) mean: 0.77402344, var: 0.00784716",,,,,,,,,
,"(0.58740234, 0.53808594, 0.45190430, 0.46142578, 0.48266602) mean: 0.50429688, var: 0.00261981",,,,,,,,,
,"(0.68701172, 0.69873047, 0.67236328, 0.67968750, 0.65820312) mean: 0.67919922, var: 0.00018606",,,,,,,,,
,,,,,,,"(0.89941406, 0.92968750, 0.87402344, 0.91113281, 0.86474609) mean: 0.89580078, var: 0.00056702",,,
,,,,,,,,"(0.75732422, 0.74121094, 0.81445312, 0.80859375, 0.72705078) mean: 0.76972656, var: 0.00125986",,
,"(0.71728516, 0.78271484, 0.62695312, 0.69628906, 0.81250000) mean: 0.72714844, var: 0.00429224",,,,,,,,,
"(0.90576172, 0.87597656, 0.89697266, 0.89501953, 0.87744141) mean: 0.89023438, var: 0.00013527",,,,,,"(0.87841797, 0.85449219, 0.87646484, 0.85449219, 0.86474609) mean: 0.86572266, var: 0.00010595",,,,
,"(0.51806641, 0.52880859, 0.61572266, 0.60449219, 0.50488281) mean: 0.55439453, var: 0.00213934",,,,,,,"(0.85546875, 0.89648438, 0.81689453, 0.83740234, 0.90722656) mean: 0.86269531, var: 0.00118288",,
"(0.90966797, 0.91455078, 0.84033203, 0.88623047, 0.86523438) mean: 0.88320313, var: 0.00077061",,,,,,"(0.91113281, 0.89111328, 0.82226562, 0.85937500, 0.85644531) mean: 0.86806640, var: 0.00093884",,,,
,"(0.68261719, 0.66748047, 0.67578125, 0.78173828, 0.70898438) mean: 0.70332031, var: 0.00173059",,,,,,,,,
,"(0.54931641, 0.63427734, 0.62451172, 0.72607422, 0.61718750) mean: 0.63027344, var: 0.00319046",,,,,,,"(0.67041016, 0.64794922, 0.59326172, 0.70361328, 0.75488281) mean: 0.67402344, var: 0.00292583",,
,,,,,,,,"(0.88330078, 0.88671875, 0.90917969, 0.86572266, 0.91113281) mean: 0.89121094, var: 0.00029043",,
"(0.83740234, 0.87353516, 0.79150391, 0.85009766, 0.82519531) mean: 0.83554688, var: 0.00074104",,,,,,"(0.84765625, 0.81982422, 0.77734375, 0.81298828, 0.79687500) mean: 0.81093750, var: 0.00055155",,,,
,"(0.71630859, 0.73632812, 0.71875000, 0.66748047, 0.71337891) mean: 0.71044922, var: 0.00052557",,,,,,,,,
,,,,,,,,"(0.87402344, 0.88085938, 0.91015625, 0.86132812, 0.91601562) mean: 0.88847656, var: 0.00044647",,
"(0.66552734, 0.60351562, 0.69628906, 0.69531250, 0.69677734) mean: 0.67148437, var: 0.00129560","(0.59423828, 0.64892578, 0.63134766, 0.61816406, 0.52294922) mean: 0.60312500, var: 0.00192551",,,,,"(0.61718750, 0.55908203, 0.49462891, 0.56689453, 0.57958984) mean: 0.56347656, var: 0.00158310",,,,
"(0.85693359, 0.83789062, 0.81835938, 0.79638672, 0.85937500) mean: 0.83378906, var: 0.00056883",,,,,,"(0.89111328, 0.87548828, 0.85253906, 0.83496094, 0.86767578) mean: 0.86435547, var: 0.00037092",,,,
,"(0.69189453, 0.70654297, 0.71679688, 0.70751953, 0.84228516) mean: 0.73300781, var: 0.00304894",,,,,,,,,
,"(0.72558594, 0.71093750, 0.67724609, 0.66845703, 0.61914062) mean: 0.68027344, var: 0.00137590",,,,,,,,,
"(0.52294922, 0.60302734, 0.59326172, 0.62744141, 0.61572266) mean: 0.59248047, var: 0.00134178",,,,,,"(0.78710938, 0.90283203, 0.84375000, 0.90478516, 0.80957031) mean: 0.84960938, var: 0.00228415",,,,
,"(0.61621094, 0.56738281, 0.54638672, 0.63427734, 0.58300781) mean: 0.58945312, var: 0.00102171",,,,,,,,,
,,,,,,,,"(0.67138672, 0.57763672, 0.66552734, 0.48925781, 0.53173828) mean: 0.58710937, var: 0.00519653",,
,"(0.60888672, 0.55419922, 0.59912109, 0.65771484, 0.59326172) mean: 0.60263672, var: 0.00110382",,"(0.56835938, 0.55761719, 0.72021484, 0.64013672, 0.81640625) mean: 0.66054688, var: 0.00947241",,,,,,,
,"(0.76318359, 0.84228516, 0.84765625, 0.84277344, 0.84863281) mean: 0.82890625, var: 0.00108629",,,,,,,,,
,,,,,,,,"(0.70605469, 0.75927734, 0.65869141, 0.71728516, 0.71289062) mean: 0.71083984, var: 0.00102686",,
,"(0.65087891, 0.73730469, 0.61474609, 0.52734375, 0.76318359) mean: 0.65869141, var: 0.00726862",,,,,,,"(0.76757812, 0.55029297, 0.62646484, 0.71337891, 0.74462891) mean: 0.68046875, var: 0.00652996",,
,"(0.55615234, 0.56250000, 0.58544922, 0.58593750, 0.63281250) mean: 0.58457031, var: 0.00072493",,,,,,,,,
,"(0.54052734, 0.60644531, 0.56250000, 0.68701172, 0.65527344) mean: 0.61035156, var: 0.00301504",,,,,,,"(0.75830078, 0.53906250, 0.69189453, 0.69677734, 0.59814453) mean: 0.65683594, var: 0.00608696",,
,"(0.79443359, 0.86816406, 0.82714844, 0.84716797, 0.80078125) mean: 0.82753906, var: 0.00076956",,,,,,,,,
"(0.86718750, 0.84033203, 0.86767578, 0.83544922, 0.83789062) mean: 0.84970703, var: 0.00021185",,,,,,"(0.91259766, 0.91113281, 0.89599609, 0.90820312, 0.87109375) mean: 0.89980469, var: 0.00024027",,,,
,"(0.58837891, 0.67187500, 0.54638672, 0.54052734, 0.66015625) mean: 0.60146484, var: 0.00306410",,,,,,,"(0.79296875, 0.78417969, 0.81689453, 0.85693359, 0.81396484) mean: 0.81298828, var: 0.00063562",,
,,,,,,,,"(0.91796875, 0.95312500, 0.89208984, 0.94482422, 0.93554688) mean: 0.92871094, var: 0.00047178",,
,,,,,,,"(0.77539062, 0.86914062, 0.82470703, 0.84521484, 0.86669922) mean: 0.83623047, var: 0.00118528",,,
,"(0.66601562, 0.68847656, 0.71923828, 0.71142578, 0.70019531) mean: 0.69707031, var: 0.00034910",,,,,,,,,
,"(0.55322266, 0.51074219, 0.25537109, 0.58496094, 0.62548828) mean: 0.50595703, var: 0.01711592",,,,,,,"(0.64257812, 0.63232422, 0.59228516, 0.62304688, 0.63818359) mean: 0.62568359, var: 0.00032164",,
,"(0.61083984, 0.73730469, 0.79052734, 0.79736328, 0.75292969) mean: 0.73779297, var: 0.00453520",,,,,,,,,
,"(0.61279297, 0.65478516, 0.68164062, 0.73144531, 0.69189453) mean: 0.67451172, var: 0.00155855",,,"(0.79345703, 0.76171875, 0.76464844, 0.41943359, 0.81250000) mean: 0.71035156, var: 0.02151217",,,,"(0.53906250, 0.59277344, 0.49218750, 0.55517578, 0.61621094) mean: 0.55908203, var: 0.00185795",,
,"(0.46997070, 0.51367188, 0.49633789, 0.47558594, 0.50683594) mean: 0.49248047, var: 0.00029243",,,,,,,"(0.68603516, 0.64208984, 0.78076172, 0.69580078, 0.66064453) mean: 0.69306641, var: 0.00227943",,
,,,,,,,,"(0.97021484, 0.96826172, 0.97509766, 0.97070312, 0.98095703) mean: 0.97304687, var: 0.00002064",,
,"(0.73095703, 0.81298828, 0.73828125, 0.75195312, 0.74365234) mean: 0.75556640, var: 0.00087133",,,,,,,,,
,"(0.68847656, 0.66210938, 0.66601562, 0.61181641, 0.66113281) mean: 0.65791016, var: 0.00063053",,,,,,,"(0.50439453, 0.56250000, 0.74414062, 0.58447266, 0.60205078) mean: 0.59951172, var: 0.00631346",,
"(0.56835938, 0.65185547, 0.53515625, 0.77636719, 0.65185547) mean: 0.63671875, var: 0.00698957","(0.68945312, 0.75146484, 0.63525391, 0.66503906, 0.73974609) mean: 0.69619140, var: 0.00193628",,,,"(0.60839844, 0.67089844, 0.71777344, 0.69433594, 0.50244141) mean: 0.63876953, var: 0.00597385","(0.51660156, 0.53662109, 0.58251953, 0.63378906, 0.51611328) mean: 0.55712890, var: 0.00205336",,,,
,"(0.50927734, 0.51025391, 0.57177734, 0.52685547, 0.59667969) mean: 0.54296875, var: 0.00123596",,,,,,,"(0.57519531, 0.85693359, 0.77490234, 0.70556641, 0.60205078) mean: 0.70292969, var: 0.01107937",,
,"(0.82275391, 0.89648438, 0.83593750, 0.87744141, 0.85498047) mean: 0.85751953, var: 0.00071920",,,,,,,,,
,,,,,,,,"(0.92773438, 0.87939453, 0.83593750, 0.93408203, 0.87011719) mean: 0.88945313, var: 0.00135923",,
,"(0.61376953, 0.60693359, 0.63378906, 0.71826172, 0.64648438) mean: 0.64384766, var: 0.00158258",,,,,,,,,
"(0.58105469, 0.55029297, 0.37475586, 0.61767578, 0.55322266) mean: 0.53540039, var: 0.00703993","(0.61376953, 0.66113281, 0.67187500, 0.70751953, 0.65576172) mean: 0.66201172, var: 0.00090708",,,,"(0.68750000, 0.73535156, 0.62548828, 0.73730469, 0.74902344) mean: 0.70693359, var: 0.00210251","(0.64355469, 0.46826172, 0.43652344, 0.65478516, 0.60791016) mean: 0.56220703, var: 0.00837980",,,,
,"(0.65478516, 0.72705078, 0.69677734, 0.62011719, 0.66015625) mean: 0.67177734, var: 0.00135454",,,,,,,,,
,"(0.68603516, 0.77099609, 0.65283203, 0.77343750, 0.73193359) mean: 0.72304687, var: 0.00224346",,,,,,,"(0.47387695, 0.62792969, 0.68847656, 0.62744141, 0.72216797) mean: 0.62797852, var: 0.00725585",,
,"(0.58349609, 0.60253906, 0.57861328, 0.73779297, 0.56103516) mean: 0.61269531, var: 0.00408710",,,,,,,,,
,,,,,,,,"(0.89306641, 0.83203125, 0.80810547, 0.84814453, 0.84521484) mean: 0.84531250, var: 0.00076984",,
,"(0.55957031, 0.58935547, 0.42797852, 0.42871094, 0.37622070) mean: 0.47636719, var: 0.00686620",,,,,,,"(0.50195312, 0.47509766, 0.57763672, 0.55029297, 0.80175781) mean: 0.58134766, var: 0.01343027",,
"(0.75976562, 0.57763672, 0.65917969, 0.63378906, 0.57666016) mean: 0.64140625, var: 0.00452829",,,,,,"(0.84570312, 0.79296875, 0.81884766, 0.85595703, 0.78515625) mean: 0.81972656, var: 0.00077986",,,,
